bucket_id,parent_id,level,n_train,n_val,BAC,F1,AUC,Regret,BND_ratio,POS_coverage,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,cluster_label,intra_cluster_avg_distance,merge_height
L1_VisitorType=new|L2_Month=high_season,L1_VisitorType=new,2,88,164,0.831439393939394,0.775,0.8435606060606061,0.3475609756097561,0.0,0.2195121951219512,f1_regret_bnd,0.4274390243902439,0.5713764147499086,-0.1439373903596646,True,L1_VisitorType=new,0,5.292247519080976,5.292247519080976
L1_VisitorType=returning|L2_Month=others,L1_VisitorType=returning,2,134,81,0.7665145005370569,0.6875,0.9473684210526316,0.1395348837209302,0.0465116279069767,0.0604651162790697,f1_regret_bnd,,0.2718360071301247,,True,ROOT,1,,5.656157370227712
L1_VisitorType=new|L2_Month=low_season,L1_VisitorType=new,2,148,109,0.9080882352941176,0.8936170212765957,0.9681372549019608,0.1422018348623853,0.0275229357798165,0.2110091743119266,f1_regret_bnd,0.7376537185243021,0.5713764147499086,0.1662773037743934,False,L1_VisitorType=new|L2_Month=low_season,0,5.292247519080976,5.292247519080976
