bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,parent_with_threshold,n_test,pos_rate_test,BND_ratio_test,POS_Coverage_test,regret_test,fold,pos_rate
L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=dsl,L3,L1_Contract=month_to_month|L2_tenure=mid_term,159,70,0.15723270440251572,0.18571428571428572,0.2,0.1,0.5642857142857143,0.4242424242424242,0.35,0.5384615384615384,0.35714285714285715,0.2857142857142857,True,70,229,0.16593886462882096,0.4709851551956815,0.6653171390013496,f1_regret_bnd,-0.3186147186147187,0.1197703035274815,-0.4383850221422002,True,L1_Contract=month_to_month|L2_tenure=mid_term,L1_Contract=month_to_month|L2_tenure=mid_term,57.0,0.14035087719298245,0.0,0.2982456140350877,0.631578947368421,2,0.16593886462882096
L1_Contract=two_year|L2_tenure=mid_term|L3_InternetService=OTHER,L3,L1_Contract=two_year|L2_tenure=mid_term,160,63,0.01875,0.015873015873015872,0.2,0.1,0.07936507936507936,0.0,0.0,0.0,0.0,0.0,False,63,223,0.017937219730941704,0.5,0.29032258064516125,f1_regret_bnd,-0.07936507936507936,-0.09523809523809523,0.015873015873015872,False,L1_Contract=two_year|L2_tenure=mid_term|L3_InternetService=OTHER,,53.0,0.018867924528301886,0.0,0.0,0.09433962264150944,2,0.017937219730941704
L1_Contract=two_year|L2_tenure=long_term|L3_InternetService=OTHER,L3,L1_Contract=two_year|L2_tenure=long_term,142,68,0.0,0.0,0.3,0.1,,,,,,,True,0,210,0.0,,,f1_regret_bnd,,-0.22540983606557377,,True,ROOT,,38.0,0.0,0.0,0.0,0.0,2,0.0
L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=dsl,L3,L1_Contract=month_to_month|L2_tenure=short_term,148,43,0.24324324324324326,0.18604651162790697,0.3,0.1,0.627906976744186,0.0,0.0,0.0,0.8837209302325582,0.0,True,43,191,0.23036649214659685,0.07142857142857142,0.5107142857142857,f1_regret_bnd,-1.0697674418604652,-0.32591093117408915,-0.7438565106863761,True,ROOT,,41.0,0.2682926829268293,0.0,0.24390243902439024,0.8048780487804879,2,0.23036649214659685
L1_Contract=one_year|L2_tenure=short_term,L2,L1_Contract=one_year,117,46,0.1111111111111111,0.043478260869565216,0.6,0.2,0.18478260869565216,0.0,0.0,0.0,0.10869565217391304,0.0,False,46,163,0.09202453987730061,0.45454545454545453,0.9090909090909091,f1_regret_bnd,-0.23913043478260868,-0.24390243902439024,0.004772004241781563,False,L1_Contract=one_year|L2_tenure=short_term,,,,,,,2,0.09202453987730061
L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=fiber,L3,L1_Contract=one_year|L2_tenure=long_term,116,41,0.1724137931034483,0.14634146341463414,0.4,0.2,0.5121951219512195,0.25,0.5,0.16666666666666666,0.14634146341463414,0.04878048780487805,False,41,157,0.16560509554140126,0.5119047619047619,0.5857142857142856,f1_regret_bnd,-0.3353658536585366,-0.346875,0.011509146341463383,False,L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=fiber,,43.0,0.18604651162790697,0.0,0.11627906976744186,0.7441860465116279,2,0.16560509554140126
L1_Contract=two_year|L2_tenure=mid_term|L3_InternetService=dsl,L3,L1_Contract=two_year|L2_tenure=mid_term,105,47,0.0,0.0,0.3,0.1,,,,,,,True,0,152,0.0,,,f1_regret_bnd,,-0.09523809523809523,,True,L1_Contract=two_year|L2_tenure=mid_term,L1_Contract=two_year|L2_tenure=mid_term,31.0,0.06451612903225806,0.0,0.0,0.3225806451612903,2,0.0
L1_Contract=one_year|L2_tenure=mid_term|L3_InternetService=OTHER,L3,L1_Contract=one_year|L2_tenure=mid_term,97,41,0.020618556701030927,0.0,0.5,0.2,,,,,,,True,0,138,0.014492753623188406,,,f1_regret_bnd,,0.32608695652173914,,True,L1_Contract=one_year|L2_tenure=mid_term,L1_Contract=one_year|L2_tenure=mid_term,29.0,0.06896551724137931,0.0,0.0,0.3448275862068966,2,0.014492753623188406
L1_Contract=one_year|L2_tenure=new,L2,L1_Contract=one_year,64,28,0.125,0.03571428571428571,0.6,0.5,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,False,28,92,0.09782608695652174,0.5,0.5925925925925926,f1_regret_bnd,-0.17857142857142858,-0.24390243902439024,0.06533101045296166,False,L1_Contract=one_year|L2_tenure=new,,,,,,,2,0.09782608695652174
L1_Contract=month_to_month|L2_tenure=long_term,L2,L1_Contract=month_to_month,64,24,0.1875,0.25,0.3,0.1,,,,,,,True,0,88,0.20454545454545456,,,f1_regret_bnd,,-0.09395725865880612,,True,ROOT,,,,,,,2,0.20454545454545456
