model,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,BAC_mean,BAC_std,AUC_mean,AUC_std,MCC_mean,MCC_std,Kappa_mean,Kappa_std,BND_ratio_mean,BND_ratio_std,POS_Coverage_mean,POS_Coverage_std,Regret_mean,Regret_std
BTTWD,0.48713653707952337,0.001708813588588063,0.9555039865335709,0.007201696067075259,0.6452867286274916,0.0029215405210612196,0.5314285675525608,0.003140685604530053,0.6494731992333349,0.007438984234679215,0.11740859652251065,0.013790127570521928,0.059627629427599825,0.005949459473215573,0.10504,0.03224574390520398,0.88756,0.03189808771697768,0.52256,0.0012856904759699923
LogReg,0.47042122508876333,0.0002702142590557321,0.9999149298170991,0.00017014036580178526,0.6398280450145808,0.0002234707699023123,0.500523716324178,0.00042832730797156583,0.6463775339503632,0.0033697190054998516,0.01826498954702311,0.010084182405358686,0.000985131657045102,0.0008057735790798847,0.0,0.0,,,0.5293599999999999,0.0003878143885933002
RandomForest,0.4741909848606964,0.00030449083390841127,0.988684434871535,0.0018385228813148698,0.640963593129371,0.0005562559729289492,0.5079311545213177,0.0004852948891102036,0.6392553954821183,0.005067318669803839,0.05710348705039296,0.003986306732144867,0.014948965592776387,0.0009164631551496833,0.0,0.0,,,0.5314,0.0018761663039293783
KNN,0.4924987843215761,0.0018107695098558223,0.8431166095007105,0.005034516266177522,0.6217815192369184,0.0022800388855003595,0.5360834869123672,0.00276424845607607,0.5849708691546682,0.0026359405442465088,0.0908943504685061,0.0068010251501009365,0.06938616287320036,0.005331065189833532,0.0,0.0,,,0.62976,0.006158441361253688
XGBoost,0.47598849955251515,0.0008581481888364687,0.9874085269283329,0.000876064770017155,0.6423340421692343,0.0008944890865500547,0.511407704420882,0.0016640628923863647,0.655853953644843,0.0045788456024971344,0.07322202037673675,0.0089677515276726,0.02151403109320178,0.003141415935950383,0.0,0.0,,,0.52884,0.0022712111306525586
