model,Precision,Recall,F1,BAC,AUC,MCC,Kappa,BND_ratio,POS_Coverage,Regret
BTTWD,0.44081320487319087,0.6368264315740731,0.5209673520578998,0.7036640666381808,0.7593978073300793,0.36257759856840827,0.3513949209218937,0.15733333333333333,0.21083333333333334,0.4036166666666666
LogReg,0.44522711994297753,0.6265791122288703,0.5204541782301618,0.7023495048435084,0.7452696592754725,0.36282276627903276,0.3531722089053262,0.0,,0.4206
RandomForest,0.45522892486259164,0.5985516292752017,0.5170828664753186,0.6975380281257534,0.7552156394155882,0.361081433075799,0.35502894316678146,0.0,,0.42486666666666667
KNN,0.36251237822525945,0.6130155891085064,0.4555618550012751,0.6534090401241109,0.6896357855451003,0.26319781025563477,0.24595542141445198,0.0,,0.49526666666666663
XGBoost,0.4706490127920121,0.5893577323612461,0.5233093370470799,0.7005168656984007,0.7624831642909948,0.37196625296991376,0.3678094318958941,0.0,,0.41916666666666663
