bucket_id,parent_id,level,n_train,n_val,BAC,F1,AUC,Regret,BND_ratio,POS_coverage,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket
ROOT,,0,3840,960,0.6159424971733161,0.5487179487179488,0.7908512356646745,0.34609375,0.19791666666666666,0.19270833333333334,f1_regret_bnd,0.10366586538461546,-0.38515625,0.48882211538461545,False,ROOT
L1_ever_delay=has_delay,ROOT,1,1383,479,0.4732886982599296,0.6880570409982174,0.7060710674059351,0.43893528183716074,0.25052192066805845,0.6764091858037579,f1_regret_bnd,0.12386079882702744,0.10366586538461546,0.02019493344241198,False,L1_ever_delay=has_delay
L1_ever_delay=no_delay,ROOT,1,2554,638,0.44884119532006855,0.02777777777777778,0.6788633032764488,0.30329153605015674,0.13793103448275862,0.001567398119122257,f1_regret_bnd,-0.34447927551375823,0.10366586538461546,-0.4481451408983737,True,ROOT
L1_ever_delay=has_delay|L2_max_delay_bin=medium,L1_ever_delay=has_delay,2,273,165,0.5,0.7669172932330827,0.6033302209772797,0.3787878787878788,0.006060606060606061,0.9939393939393939,f1_regret_bnd,0.38509911141490083,0.12386079882702744,0.2612383125878734,False,L1_ever_delay=has_delay|L2_max_delay_bin=medium
L1_ever_delay=has_delay|L2_max_delay_bin=mild,L1_ever_delay=has_delay,2,1134,281,0.4735705141881801,0.6312292358803987,0.6921271602304246,0.4928825622775801,0.2704626334519573,0.6832740213523132,f1_regret_bnd,0.0031153568768399476,0.12386079882702744,-0.1207454419501875,True,L1_ever_delay=has_delay
L1_ever_delay=has_delay|L2_max_delay_bin=others,L1_ever_delay=has_delay,2,123,32,0.6046365914786967,0.8504672897196262,0.8947368421052632,0.26129032258064516,0.14193548387096774,0.7483870967741936,f1_regret_bnd,,0.12386079882702744,,True,L1_ever_delay=has_delay
L1_ever_delay=no_delay|L2_max_delay_bin=none,L1_ever_delay=no_delay,2,2553,637,0.452771300884096,0.02666666666666666,0.5699504517633343,0.33124018838304553,0.11930926216640503,0.0031397174254317113,f1_regret_bnd,-0.3642281527995814,-0.34447927551375823,-0.01974887728582314,True,ROOT
L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=low_limit,L1_ever_delay=has_delay|L2_max_delay_bin=medium,3,444,117,0.5,0.761904761904762,0.5916666666666667,0.38461538461538464,0.0,1.0,f1_regret_bnd,0.37728937728937734,0.38509911141490083,-0.007809734125523493,True,L1_ever_delay=has_delay|L2_max_delay_bin=medium
L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=others,L1_ever_delay=has_delay|L2_max_delay_bin=medium,3,185,48,0.5158395368072787,0.8588235294117649,0.8203473945409429,0.27467811158798283,0.17167381974248927,0.7939914163090128,f1_regret_bnd,,0.38509911141490083,,True,L1_ever_delay=has_delay|L2_max_delay_bin=medium
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=high_limit,L1_ever_delay=has_delay|L2_max_delay_bin=mild,3,1259,308,0.3833067517278044,0.4367816091954023,0.6964863950509884,0.49107142857142855,0.4642857142857143,0.2435064935064935,f1_regret_bnd,-0.2864326765188834,0.0031153568768399476,-0.2895480333957233,True,L1_ever_delay=has_delay
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=low_limit,L1_ever_delay=has_delay|L2_max_delay_bin=mild,3,2614,641,0.4730142466822794,0.6528735632183907,0.5950331772053084,0.5054602184087363,0.10920436817472699,0.8814352574102964,f1_regret_bnd,0.0928111607222909,0.0031153568768399476,0.08969580384545095,False,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=low_limit
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=mid_limit,L1_ever_delay=has_delay|L2_max_delay_bin=mild,3,1805,464,0.38751500600240096,0.5416666666666666,0.6390956382553021,0.5193965517241379,0.4224137931034483,0.46120689655172414,f1_regret_bnd,-0.18893678160919541,0.0031153568768399476,-0.19205213848603536,True,L1_ever_delay=has_delay
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=high_limit,L1_ever_delay=no_delay|L2_max_delay_bin=none,3,4868,1195,0.48173178303655106,0.08823529411764706,0.6511759020618557,0.29351464435146446,0.09539748953974896,0.0066945606694560665,f1_regret_bnd,-0.25297809500369184,-0.3642281527995814,0.11125005779588953,False,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=high_limit
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=low_limit,L1_ever_delay=no_delay|L2_max_delay_bin=none,3,3751,982,0.41695670909573057,0.013793103448275862,0.5918854415274463,0.41216904276985744,0.19144602851323828,0.0010183299389002036,f1_regret_bnd,-0.49409895357820066,-0.3642281527995814,-0.1298708007786193,True,ROOT
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=mid_limit,L1_ever_delay=no_delay|L2_max_delay_bin=none,3,4151,1013,0.5,0.0,0.5838826554464703,0.2754195459032576,0.0,0.0,f1_regret_bnd,-0.2754195459032576,-0.3642281527995814,0.08880860689632375,False,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=mid_limit
