model,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,BAC_mean,BAC_std,AUC_mean,AUC_std,MCC_mean,MCC_std,Kappa_mean,Kappa_std,BND_ratio_mean,BND_ratio_std,POS_Coverage_mean,POS_Coverage_std,Regret_mean,Regret_std
BTTWD,0.4405265164108031,0.012461834522318095,0.6405948965417056,0.011559556096695997,0.5220129998620632,0.01190760185885381,0.7046922584086599,0.00895680909161717,0.758020161913347,0.004794941726591826,0.3638002076555102,0.017024031605531426,0.3521620120552008,0.017285394937603723,0.15076666666666666,0.0406197817161376,0.22279999999999997,0.047590615321370516,0.4057166666666667,0.009147774091730378
LogReg,0.44522711994297753,0.00734415848845809,0.6265791122288703,0.013601023931701754,0.5204541782301618,0.006285386571549859,0.7023495048435084,0.005043312536680953,0.7452696592754725,0.005634932032704731,0.36282276627903276,0.008697176383423433,0.3531722089053262,0.008633228409056455,0.0,0.0,,,0.4206,0.006671331701142328
RandomForest,0.45522892486259164,0.007577994227143932,0.5985516292752017,0.014402903452060212,0.5170828664753186,0.008805495501938996,0.6975380281257534,0.006730039563268582,0.7552157039205746,0.00449162245508873,0.361081433075799,0.011573213264169957,0.35502894316678146,0.011197530533075933,0.0,0.0,,,0.42486666666666667,0.008967472082786518
KNN,0.36251237822525945,0.006879546410190401,0.6130155891085064,0.015879824508356795,0.4555618550012751,0.009012468723050063,0.6534090401241109,0.007814459920598758,0.6896357855451003,0.0070580902799384365,0.26319781025563477,0.013129731157836187,0.24595542141445198,0.012017079644043136,0.0,0.0,,,0.49526666666666663,0.010505342556157891
XGBoost,0.4706490127920121,0.009511762324350513,0.5893577323612461,0.01281819428774215,0.5233093370470799,0.009692582322230567,0.7005168656984007,0.0070423092198018435,0.7624831642909948,0.003897429864058718,0.37196625296991376,0.01298928841012719,0.3678094318958941,0.012867799197590771,0.0,0.0,,,0.41916666666666663,0.00959224223584408
