bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,cost_source,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,use_gain_weak_backoff,threshold_data_source,parent_with_threshold,n_test,pos_rate_test,BND_ratio_test,POS_Coverage_test,regret_test,fold,pos_rate
L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=low_limit,L3,L1_ever_delay=has_delay|L2_max_delay_bin=medium,467,114,0.6145610278372591,0.5964912280701754,0.4,0.2,0.40131578947368424,0.7486033519553074,0.6036036036036037,0.9852941176470589,0.02631578947368421,0.9736842105263158,True,114,581,0.6110154905335629,0.49264705882352944,0.5644181585677749,global_default,f1_regret_bnd,0.33412966774478103,0.3726310483870969,-0.03850138064231584,True,L1_ever_delay=has_delay|L2_max_delay_bin=medium,True,val,L1_ever_delay=has_delay|L2_max_delay_bin=medium,139.0,0.6187050359712231,0.0,0.9568345323741008,0.3776978417266187,1,0.6110154905335629
L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=others,L3,L1_ever_delay=has_delay|L2_max_delay_bin=medium,186,46,0.6290322580645161,0.717391304347826,0.4,0.2,0.28987068965517243,0.8277945619335347,0.7569060773480663,0.9133333333333333,0.125,0.7801724137931034,True,232,232,0.646551724137931,0.5786178861788618,0.8315447154471545,global_default,f1_regret_bnd,,0.3726310483870969,,True,L1_ever_delay=has_delay|L2_max_delay_bin=medium,True,all,L1_ever_delay=has_delay|L2_max_delay_bin=medium,,,,,,1,0.646551724137931
L1_ever_delay=has_delay|L2_max_delay_bin=others,L2,L1_ever_delay=has_delay,109,35,0.7155963302752294,0.5142857142857142,0.4,0.2,0.2638888888888889,0.8669950738916257,0.822429906542056,0.9166666666666666,0.1597222222222222,0.7430555555555556,True,144,144,0.6666666666666666,0.5833333333333333,0.85546875,global_default,f1_regret_bnd,,0.3458751393534002,,True,L1_ever_delay=has_delay,True,all,L1_ever_delay=has_delay,,,,,,1,0.6666666666666666
ROOT,L1,,0,0,,,0.4,0.2,0.3164895833333333,0.5799763033175355,0.6094625440962855,0.5532115275946506,0.18266666666666667,0.20079166666666667,False,24000,24000,0.22120833333333334,0.643948335088321,0.8467029483137137,global_default,f1_regret_bnd,,-0.4074479166666667,,True,ROOT,True,all,,,,,,,2,0.22120833333333334
L1_ever_delay=no_delay,L1,ROOT,0,0,,,0.4,0.2,0.2627741813839482,0.10147133434804669,0.8264462809917356,0.05405405405405406,0.12224247376029163,0.007604801709509145,True,15911,15911,0.11627176167431337,0.48378685918690184,0.8115878690724008,global_default,f1_regret_bnd,,-0.4074479166666667,,True,ROOT,True,all,,,,,,,2,0.11627176167431337
L1_ever_delay=no_delay|L2_max_delay_bin=none,L2,L1_ever_delay=no_delay,0,0,,,0.4,0.2,0.2627741813839482,0.10147133434804669,0.8264462809917356,0.05405405405405406,0.12224247376029163,0.007604801709509145,True,15911,15911,0.11627176167431337,0.48378685918690184,0.8115878690724008,global_default,f1_regret_bnd,,-0.4074479166666667,,True,ROOT,True,all,,,,,,,2,0.11627176167431337
L1_ever_delay=has_delay,L1,ROOT,123,176,0.6341463414634146,0.6079545454545454,0.1,0.0,0.39204545454545453,0.7561837455830388,0.6079545454545454,1.0,0.0,1.0,False,176,8089,0.4276177525033997,0.5,0.5603413246647705,global_default,f1_regret_bnd,0.36413829103758427,-0.4074479166666667,0.771586207704251,False,L1_ever_delay=has_delay,True,val,,,,,,,2,0.4276177525033997
L1_ever_delay=has_delay|L2_max_delay_bin=mild,L2,L1_ever_delay=has_delay,0,0,,,0.1,0.0,0.41383766415199774,0.6739292642889121,0.589864158829676,0.7859380438565959,0.21234981838502376,0.5347862531433362,True,7158,7158,0.4013690975132719,0.5838675050088113,0.7913488598024256,global_default,f1_regret_bnd,,0.36413829103758427,,True,L1_ever_delay=has_delay,True,all,L1_ever_delay=has_delay,,,,,,2,0.4013690975132719
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=high_limit,L3,L1_ever_delay=no_delay|L2_max_delay_bin=none,4866,1201,0.09720509658857378,0.09492089925062448,0.6,0.2,0.26477935054121565,0.0,0.0,0.0,0.0974188176519567,0.0,False,1201,6067,0.09675292566342508,0.45998160073597055,0.686768669604093,global_default,f1_regret_bnd,-0.313488759367194,-0.4074479166666667,0.09395915729947268,False,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=high_limit,True,val,,1498.0,0.09145527369826435,0.0,0.0,0.27002670226969294,2,0.09675292566342508
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=mid_limit,L3,L1_ever_delay=no_delay|L2_max_delay_bin=none,4136,1032,0.10203094777562863,0.11724806201550388,0.4,0.2,0.34060077519379844,0.0,0.0,0.0,0.08430232558139535,0.0,False,1032,5168,0.10506965944272446,0.4632272228320527,0.6027750814199272,global_default,f1_regret_bnd,-0.38275193798449614,-0.4074479166666667,0.02469597868217055,False,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=mid_limit,True,val,,1300.0,0.12615384615384614,0.0,0.0007692307692307692,0.3526923076923077,2,0.10506965944272446
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=low_limit,L3,L1_ever_delay=no_delay|L2_max_delay_bin=none,3740,936,0.15641711229946523,0.14423076923076922,0.4,0.2,0.43189102564102566,0.0,0.0,0.0,0.004273504273504274,0.0,True,936,4676,0.15397775876817793,0.49812734082397003,0.544282609700837,global_default,f1_regret_bnd,-0.4340277777777778,-0.4074479166666667,-0.026579861111111103,True,ROOT,True,val,,1222.0,0.1497545008183306,0.0,0.004091653027823241,0.4349427168576105,2,0.15397775876817793
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=low_limit,L3,L1_ever_delay=has_delay|L2_max_delay_bin=mild,2586,661,0.4563031709203403,0.4508320726172466,0.4,0.3,0.4886535552193646,0.6462324393358877,0.5216494845360825,0.8489932885906041,0.1664145234493192,0.7337367624810892,False,661,3247,0.455189405605174,0.5030090409895169,0.6160398986817535,global_default,f1_regret_bnd,0.0743716223918635,-0.4074479166666667,0.4818195390585302,False,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=low_limit,True,val,,797.0,0.41656210790464243,0.0,0.7452948557089084,0.5436010037641155,2,0.455189405605174
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=mid_limit,L3,L1_ever_delay=has_delay|L2_max_delay_bin=mild,1841,495,0.3900054318305269,0.37575757575757573,0.4,0.1,0.543939393939394,0.5395348837209303,0.47540983606557374,0.6236559139784946,0.4888888888888889,0.49292929292929294,False,495,2336,0.386986301369863,0.32477294080801755,0.620993840693183,global_default,f1_regret_bnd,-0.2488489546629081,-0.4074479166666667,0.1585989620037586,False,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=mid_limit,True,val,,543.0,0.3996316758747698,0.0,0.427255985267035,0.5570902394106814,2,0.386986301369863
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=high_limit,L3,L1_ever_delay=has_delay|L2_max_delay_bin=mild,1276,299,0.3056426332288401,0.3377926421404682,0.1,0.0,0.5518394648829431,0.4142011834319526,0.5147058823529411,0.3465346534653465,0.7725752508361204,0.22742474916387959,True,299,1575,0.31174603174603177,0.17326732673267325,0.6102110211021102,global_default,f1_regret_bnd,-0.5239259068690507,-0.4074479166666667,-0.11647799020238403,True,L1_ever_delay=has_delay,True,val,L1_ever_delay=has_delay,378.0,0.3439153439153439,0.0,0.9470899470899471,0.6329365079365079,2,0.31174603174603177
L1_ever_delay=has_delay|L2_max_delay_bin=medium,L2,L1_ever_delay=has_delay,176,148,0.6704545454545454,0.6081081081081081,0.3,0.0,0.3885135135135135,0.759493670886076,0.6122448979591837,1.0,0.006756756756756757,0.9932432432432432,False,148,780,0.6294871794871795,0.5,0.5333333333333333,global_default,f1_regret_bnd,0.3676017789941841,0.36413829103758427,0.003463487956599842,False,L1_ever_delay=has_delay|L2_max_delay_bin=medium,True,val,,,,,,,2,0.6294871794871795
L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=low_limit,L3,L1_ever_delay=has_delay|L2_max_delay_bin=medium,456,107,0.6206140350877193,0.5700934579439252,0.3,0.0,0.42990654205607476,0.7261904761904762,0.5700934579439252,1.0,0.0,1.0,True,107,563,0.61101243339254,0.5,0.42480399144689945,global_default,f1_regret_bnd,0.2962839341344014,0.3676017789941841,-0.07131784485978271,True,L1_ever_delay=has_delay|L2_max_delay_bin=medium,True,val,L1_ever_delay=has_delay|L2_max_delay_bin=medium,157.0,0.6178343949044586,0.0,0.9936305732484076,0.37898089171974525,2,0.61101243339254
L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=others,L3,L1_ever_delay=has_delay|L2_max_delay_bin=medium,176,41,0.6704545454545454,0.7073170731707317,0.3,0.0,0.26497695852534564,0.8501529051987768,0.7722222222222223,0.9455782312925171,0.1336405529953917,0.8294930875576036,True,217,217,0.6774193548387096,0.5299319727891156,0.876287657920311,global_default,f1_regret_bnd,,0.3676017789941841,,True,L1_ever_delay=has_delay|L2_max_delay_bin=medium,True,all,L1_ever_delay=has_delay|L2_max_delay_bin=medium,,,,,,2,0.6774193548387096
L1_ever_delay=has_delay|L2_max_delay_bin=others,L2,L1_ever_delay=has_delay,123,28,0.6341463414634146,0.6071428571428571,0.1,0.0,0.2897350993377483,0.8301886792452831,0.7521367521367521,0.9263157894736842,0.09933774834437085,0.7748344370860927,True,151,151,0.6291390728476821,0.6149436090225564,0.8394736842105263,global_default,f1_regret_bnd,,0.36413829103758427,,True,L1_ever_delay=has_delay,True,all,L1_ever_delay=has_delay,,,,,,2,0.6291390728476821
ROOT,L1,,0,0,,,0.4,0.2,0.3166041666666667,0.5771332075096851,0.6105506515342581,0.5471840271237521,0.189,0.19825,False,24000,24000,0.22120833333333334,0.6390085241819605,0.8471333703293439,global_default,f1_regret_bnd,,-0.40020833333333333,,True,ROOT,True,all,,,,,,,3,0.22120833333333334
L1_ever_delay=no_delay,L1,ROOT,0,0,,,0.4,0.2,0.2659371281858601,0.09557344064386318,0.8260869565217391,0.050720768820074744,0.13238148913519945,0.007201452814828731,True,15969,15969,0.1172897488884714,0.4775808724917627,0.8148160913828325,global_default,f1_regret_bnd,,-0.40020833333333333,,True,ROOT,True,all,,,,,,,3,0.1172897488884714
L1_ever_delay=no_delay|L2_max_delay_bin=none,L2,L1_ever_delay=no_delay,0,0,,,0.4,0.2,0.2659371281858601,0.09557344064386318,0.8260869565217391,0.050720768820074744,0.13238148913519945,0.007201452814828731,True,15969,15969,0.1172897488884714,0.4775808724917627,0.8148160913828325,global_default,f1_regret_bnd,,-0.40020833333333333,,True,ROOT,True,all,,,,,,,3,0.1172897488884714
L1_ever_delay=has_delay,L1,ROOT,110,202,0.6272727272727273,0.5841584158415841,0.4,0.3,0.40222772277227725,0.7452229299363057,0.5969387755102041,0.9915254237288136,0.019801980198019802,0.9702970297029703,False,202,8031,0.4278421118167102,0.5076674737691687,0.6099677158999194,global_default,f1_regret_bnd,0.3330942170650185,-0.40020833333333333,0.7333025503983519,False,L1_ever_delay=has_delay,True,val,,,,,,,3,0.4278421118167102
L1_ever_delay=has_delay|L2_max_delay_bin=mild,L2,L1_ever_delay=has_delay,0,0,,,0.4,0.3,0.42071963806022905,0.6729540614542135,0.5917602996254682,0.7799717912552891,0.19864272585890005,0.528488618690796,True,7073,7073,0.4009614025166125,0.5923696577234671,0.7892614278871104,global_default,f1_regret_bnd,,0.3330942170650185,,True,L1_ever_delay=has_delay,True,all,L1_ever_delay=has_delay,,,,,,3,0.4009614025166125
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=high_limit,L3,L1_ever_delay=no_delay|L2_max_delay_bin=none,4851,1200,0.09565038136466708,0.09916666666666667,0.4,0.3,0.2825,0.07936507936507937,0.7142857142857143,0.04201680672268908,0.019166666666666665,0.005833333333333334,False,1200,6051,0.09634771112212857,0.5122202442494111,0.6868912227240572,global_default,f1_regret_bnd,-0.21271825396825395,-0.40020833333333333,0.1874900793650794,False,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=high_limit,True,val,,1514.0,0.09313077939233817,0.0,0.0059445178335535,0.27724570673712023,3,0.09634771112212857
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=mid_limit,L3,L1_ever_delay=no_delay|L2_max_delay_bin=none,4179,1052,0.10815984685331419,0.11406844106463879,0.5,0.2,0.3274714828897338,0.0,0.0,0.0,0.09600760456273764,0.0,False,1052,5231,0.10934811699483846,0.45869098712446355,0.6398023962804006,global_default,f1_regret_bnd,-0.3754752851711026,-0.40020833333333333,0.02473304816223071,False,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=mid_limit,True,val,,1237.0,0.10913500404203719,0.0,0.0008084074373484236,0.322554567502021,3,0.10934811699483846
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=low_limit,L3,L1_ever_delay=no_delay|L2_max_delay_bin=none,3759,928,0.15695663740356477,0.13793103448275862,0.4,0.2,0.39304956896551724,0.015503875968992248,1.0,0.0078125,0.21982758620689655,0.0010775862068965517,True,928,4687,0.1531896735651803,0.40328125,0.6183203125,global_default,f1_regret_bnd,-0.48745948609997325,-0.40020833333333333,-0.08725115276663992,True,ROOT,True,val,,1211.0,0.152766308835673,0.0,0.007431874483897605,0.4411643270024773,3,0.1531896735651803
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=low_limit,L3,L1_ever_delay=has_delay|L2_max_delay_bin=mild,2562,646,0.453551912568306,0.4613003095975232,0.3,0.0,0.5274767801857585,0.6326530612244898,0.4777397260273973,0.9362416107382551,0.09597523219814241,0.9040247678018576,False,646,3208,0.4551122194513716,0.46812080536912754,0.555764483530047,global_default,f1_regret_bnd,0.05718866493966013,-0.40020833333333333,0.45739699827299346,False,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=low_limit,True,val,,836.0,0.41866028708133973,0.0,0.861244019138756,0.5403708133971292,3,0.4551122194513716
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=mid_limit,L3,L1_ever_delay=has_delay|L2_max_delay_bin=mild,1831,465,0.3806663025669033,0.3956989247311828,0.3,0.0,0.5532258064516129,0.5708502024291499,0.45483870967741935,0.7663043478260869,0.3333333333333333,0.6666666666666666,False,465,2296,0.3837108013937282,0.38315217391304346,0.5988028005570168,global_default,f1_regret_bnd,-0.1490422706891297,-0.40020833333333333,0.2511660626442036,False,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=mid_limit,True,val,,583.0,0.411663807890223,0.0,0.7032590051457976,0.5428816466552315,3,0.3837108013937282
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=high_limit,L3,L1_ever_delay=has_delay|L2_max_delay_bin=mild,1262,307,0.31695721077654515,0.30944625407166126,0.4,0.2,0.503257328990228,0.45303867403314924,0.47674418604651164,0.43157894736842106,0.41042345276872966,0.28013029315960913,False,307,1569,0.3154875717017208,0.41154419066534265,0.6794190665342601,global_default,f1_regret_bnd,-0.2554303813414436,-0.40020833333333333,0.14477795199188975,False,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=high_limit,True,val,,384.0,0.328125,0.0,0.2890625,0.595703125,3,0.3154875717017208
L1_ever_delay=has_delay|L2_max_delay_bin=medium,L2,L1_ever_delay=has_delay,182,166,0.6648351648351648,0.572289156626506,0.4,0.3,0.411144578313253,0.7372549019607844,0.5875,0.9894736842105263,0.024096385542168676,0.963855421686747,True,166,812,0.625615763546798,0.5088213491475166,0.610229799851742,global_default,f1_regret_bnd,0.314062130876447,0.3330942170650185,-0.019032086188571495,True,L1_ever_delay=has_delay,True,val,L1_ever_delay=has_delay,,,,,,3,0.625615763546798
L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=low_limit,L3,L1_ever_delay=has_delay|L2_max_delay_bin=medium,464,119,0.6293103448275862,0.5462184873949579,0.4,0.3,0.43907563025210083,0.7085714285714286,0.5636363636363636,0.9538461538461539,0.058823529411764705,0.9243697478991597,True,119,583,0.6123499142367067,0.4954415954415955,0.6088319088319089,global_default,f1_regret_bnd,0.24008403361344544,0.314062130876447,-0.07397809726300159,True,L1_ever_delay=has_delay,True,val,L1_ever_delay=has_delay,137.0,0.6131386861313869,0.0,0.9635036496350365,0.4032846715328467,3,0.6123499142367067
