Dataset,Num_Strong_Buckets,Regret_SBSR,BND_ratio_SBSR,POS_coverage_SBSR,BAC_Mean_Diff,BAC_Weighted_Mean_Diff,F1_Mean_Diff,F1_Weighted_Mean_Diff
adult_bttwd,80,0.6,0.6625,0.6625,0.00911030535948833,0.01656329126783785,0.01779290128994876,0.027217584007478566
bank_bttwd,110,0.6,0.8818181818181818,0.7181818181818181,0.0344877106207349,0.03586985679697672,0.02939430740239669,0.020226862940862587
credit_default_bttwd,13,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.0016203816631946784,0.014953807933871292,0.08226608651076095,0.10812283973093326
diabetic_bttwd,30,0.6666666666666666,0.6,1.0,0.02827205310533377,0.00992115944219317,0.13178144385668702,0.03401814144275257
hospital_bttwd,63,0.6825396825396826,0.746031746031746,0.746031746031746,-0.011032735297346224,-0.010906552303316679,0.0007198921534833651,0.00037273903433905755
online_shoppers,37,0.6486486486486487,0.7297297297297297,0.4594594594594595,0.0,0.0,0.0,0.0
telco_churn,31,0.8064516129032258,0.7741935483870968,0.6451612903225806,0.0018347243747078676,0.0007821515344408642,0.008918638162400686,0.006963587414874422
weatherAUS_bttwd,124,0.5546218487394958,0.7310924369747899,0.6554621848739496,-0.03255039023259267,-0.012083188669447522,-0.00013947691644673055,0.014981089644387817
