bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_age=30-40|L2_job=white_collar|L3_contact=telephone,3,295,295,0,L1_age=30-40|L2_job=white_collar,False,L1_age=30-40|L2_job=white_collar|L3_contact=telephone,0
L1_age=30-40|L2_job=white_collar|L3_contact=unknown,3,2207,0,2207,L1_age=30-40|L2_job=white_collar,True,L1_age=30-40|L2_job=white_collar,0
L1_age=40-50|L2_job=blue_collar|L3_contact=cellular,3,2319,2319,0,L1_age=40-50|L2_job=blue_collar,False,L1_age=40-50|L2_job=blue_collar|L3_contact=cellular,0
L1_age=40-50|L2_job=blue_collar|L3_contact=telephone,3,314,314,0,L1_age=40-50|L2_job=blue_collar,False,L1_age=40-50|L2_job=blue_collar|L3_contact=telephone,0
L1_age=40-50|L2_job=blue_collar|L3_contact=unknown,3,1588,1588,0,L1_age=40-50|L2_job=blue_collar,False,L1_age=40-50|L2_job=blue_collar|L3_contact=unknown,0
L1_age=40-50|L2_job=no_income|L3_contact=cellular,3,238,238,0,L1_age=40-50|L2_job=no_income,False,L1_age=40-50|L2_job=no_income|L3_contact=cellular,0
L1_age=40-50|L2_job=no_income|L3_contact=telephone,3,32,0,32,L1_age=40-50|L2_job=no_income,True,L1_age=40-50,0
L1_age=40-50,1,0,1845,0,ROOT,False,L1_age=40-50,1845
L1_age=40-50|L2_job=no_income|L3_contact=unknown,3,89,0,89,L1_age=40-50|L2_job=no_income,True,L1_age=40-50,0
L1_age=40-50|L2_job=retired|L3_contact=cellular,3,46,0,46,L1_age=40-50|L2_job=retired,True,L1_age=40-50,0
L1_age=40-50|L2_job=retired|L3_contact=others,3,9,0,9,L1_age=40-50|L2_job=retired,True,L1_age=40-50,0
L1_age=40-50|L2_job=retired|L3_contact=unknown,3,57,0,57,L1_age=40-50|L2_job=retired,True,L1_age=40-50,0
L1_age=40-50|L2_job=self_emp|L3_contact=cellular,3,554,0,554,L1_age=40-50|L2_job=self_emp,True,L1_age=40-50|L2_job=self_emp,0
L1_age=40-50|L2_job=self_emp,2,0,809,0,L1_age=40-50,False,L1_age=40-50|L2_job=self_emp,809
L1_age=40-50|L2_job=self_emp|L3_contact=telephone,3,64,64,0,L1_age=40-50|L2_job=self_emp,False,L1_age=40-50|L2_job=self_emp|L3_contact=telephone,0
L1_age=40-50|L2_job=self_emp|L3_contact=unknown,3,255,0,255,L1_age=40-50|L2_job=self_emp,True,L1_age=40-50|L2_job=self_emp,0
