bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,fallback_from_children,parent_id,is_weak,effective_bucket_id
L1_age=30-40|L2_job=white_collar|L3_contact=cellular,3,7237,0,7237,0,L1_age=30-40|L2_job=white_collar,True,L1_age=30-40|L2_job=white_collar
L1_age=30-40|L2_job=white_collar,2,0,9444,0,9444,L1_age=30-40,False,L1_age=30-40|L2_job=white_collar
L1_age=30-40|L2_job=white_collar|L3_contact=telephone,3,295,295,0,0,L1_age=30-40|L2_job=white_collar,False,L1_age=30-40|L2_job=white_collar|L3_contact=telephone
L1_age=30-40|L2_job=white_collar|L3_contact=unknown,3,2207,0,2207,0,L1_age=30-40|L2_job=white_collar,True,L1_age=30-40|L2_job=white_collar
L1_age=40-50|L2_job=blue_collar|L3_contact=cellular,3,2319,2319,0,0,L1_age=40-50|L2_job=blue_collar,False,L1_age=40-50|L2_job=blue_collar|L3_contact=cellular
L1_age=40-50|L2_job=blue_collar|L3_contact=telephone,3,314,314,0,0,L1_age=40-50|L2_job=blue_collar,False,L1_age=40-50|L2_job=blue_collar|L3_contact=telephone
L1_age=40-50|L2_job=blue_collar|L3_contact=unknown,3,1588,1588,0,0,L1_age=40-50|L2_job=blue_collar,False,L1_age=40-50|L2_job=blue_collar|L3_contact=unknown
L1_age=40-50|L2_job=no_income|L3_contact=cellular,3,238,238,0,0,L1_age=40-50|L2_job=no_income,False,L1_age=40-50|L2_job=no_income|L3_contact=cellular
L1_age=40-50|L2_job=no_income|L3_contact=telephone,3,32,0,32,0,L1_age=40-50|L2_job=no_income,True,L1_age=40-50
L1_age=40-50,1,0,1845,0,1845,ROOT,False,L1_age=40-50
L1_age=40-50|L2_job=no_income|L3_contact=unknown,3,89,0,89,0,L1_age=40-50|L2_job=no_income,True,L1_age=40-50
L1_age=40-50|L2_job=retired|L3_contact=cellular,3,46,0,46,0,L1_age=40-50|L2_job=retired,True,L1_age=40-50
L1_age=40-50|L2_job=retired|L3_contact=others,3,9,0,9,0,L1_age=40-50|L2_job=retired,True,L1_age=40-50
L1_age=40-50|L2_job=retired|L3_contact=unknown,3,57,0,57,0,L1_age=40-50|L2_job=retired,True,L1_age=40-50
L1_age=40-50|L2_job=self_emp|L3_contact=cellular,3,554,0,554,0,L1_age=40-50|L2_job=self_emp,True,L1_age=40-50|L2_job=self_emp
L1_age=40-50|L2_job=self_emp,2,0,809,0,809,L1_age=40-50,False,L1_age=40-50|L2_job=self_emp
L1_age=40-50|L2_job=self_emp|L3_contact=telephone,3,64,64,0,0,L1_age=40-50|L2_job=self_emp,False,L1_age=40-50|L2_job=self_emp|L3_contact=telephone
L1_age=40-50|L2_job=self_emp|L3_contact=unknown,3,255,0,255,0,L1_age=40-50|L2_job=self_emp,True,L1_age=40-50|L2_job=self_emp
L1_age=40-50|L2_job=unknown|L3_contact=cellular,3,48,0,48,0,L1_age=40-50|L2_job=unknown,True,L1_age=40-50
L1_age=40-50|L2_job=unknown|L3_contact=others,3,12,0,12,0,L1_age=40-50|L2_job=unknown,True,L1_age=40-50
L1_age=40-50|L2_job=unknown|L3_contact=unknown,3,43,0,43,0,L1_age=40-50|L2_job=unknown,True,L1_age=40-50
L1_age=40-50|L2_job=white_collar|L3_contact=cellular,3,3747,3747,0,0,L1_age=40-50|L2_job=white_collar,False,L1_age=40-50|L2_job=white_collar|L3_contact=cellular
L1_age=40-50|L2_job=white_collar|L3_contact=telephone,3,315,315,0,0,L1_age=40-50|L2_job=white_collar,False,L1_age=40-50|L2_job=white_collar|L3_contact=telephone
L1_age=40-50|L2_job=white_collar|L3_contact=unknown,3,1509,0,1509,0,L1_age=40-50|L2_job=white_collar,True,L1_age=40-50
L1_age=50-60|L2_job=blue_collar|L3_contact=cellular,3,1316,0,1316,0,L1_age=50-60|L2_job=blue_collar,True,L1_age=50-60|L2_job=blue_collar
L1_age=50-60|L2_job=blue_collar,2,0,2164,0,2164,L1_age=50-60,False,L1_age=50-60|L2_job=blue_collar
L1_age=50-60|L2_job=blue_collar|L3_contact=telephone,3,289,289,0,0,L1_age=50-60|L2_job=blue_collar,False,L1_age=50-60|L2_job=blue_collar|L3_contact=telephone
L1_age=50-60|L2_job=blue_collar|L3_contact=unknown,3,848,0,848,0,L1_age=50-60|L2_job=blue_collar,True,L1_age=50-60|L2_job=blue_collar
L1_age=50-60|L2_job=no_income|L3_contact=cellular,3,179,179,0,0,L1_age=50-60|L2_job=no_income,False,L1_age=50-60|L2_job=no_income|L3_contact=cellular
L1_age=50-60|L2_job=no_income|L3_contact=others,3,28,0,28,0,L1_age=50-60|L2_job=no_income,True,L1_age=50-60|L2_job=no_income
L1_age=50-60|L2_job=no_income,2,0,86,0,86,L1_age=50-60,False,L1_age=50-60|L2_job=no_income
L1_age=50-60|L2_job=no_income|L3_contact=unknown,3,58,0,58,0,L1_age=50-60|L2_job=no_income,True,L1_age=50-60|L2_job=no_income
L1_age=50-60|L2_job=retired|L3_contact=cellular,3,722,0,722,0,L1_age=50-60|L2_job=retired,True,L1_age=50-60
L1_age=50-60,1,0,2004,0,2004,ROOT,False,L1_age=50-60
L1_age=50-60|L2_job=retired|L3_contact=telephone,3,114,114,0,0,L1_age=50-60|L2_job=retired,False,L1_age=50-60|L2_job=retired|L3_contact=telephone
L1_age=50-60|L2_job=retired|L3_contact=unknown,3,401,401,0,0,L1_age=50-60|L2_job=retired,False,L1_age=50-60|L2_job=retired|L3_contact=unknown
L1_age=50-60|L2_job=self_emp|L3_contact=cellular,3,345,345,0,0,L1_age=50-60|L2_job=self_emp,False,L1_age=50-60|L2_job=self_emp|L3_contact=cellular
L1_age=50-60|L2_job=self_emp|L3_contact=telephone,3,58,0,58,0,L1_age=50-60|L2_job=self_emp,True,L1_age=50-60
L1_age=50-60|L2_job=self_emp|L3_contact=unknown,3,185,185,0,0,L1_age=50-60|L2_job=self_emp,False,L1_age=50-60|L2_job=self_emp|L3_contact=unknown
L1_age=50-60|L2_job=unknown|L3_contact=cellular,3,36,0,36,0,L1_age=50-60|L2_job=unknown,True,L1_age=50-60|L2_job=unknown
L1_age=50-60|L2_job=unknown,2,0,93,0,93,L1_age=50-60,False,L1_age=50-60|L2_job=unknown
L1_age=50-60|L2_job=unknown|L3_contact=others,3,14,0,14,0,L1_age=50-60|L2_job=unknown,True,L1_age=50-60|L2_job=unknown
L1_age=50-60|L2_job=unknown|L3_contact=unknown,3,43,0,43,0,L1_age=50-60|L2_job=unknown,True,L1_age=50-60|L2_job=unknown
L1_age=50-60|L2_job=white_collar|L3_contact=cellular,3,2207,2207,0,0,L1_age=50-60|L2_job=white_collar,False,L1_age=50-60|L2_job=white_collar|L3_contact=cellular
L1_age=50-60|L2_job=white_collar|L3_contact=telephone,3,345,0,345,0,L1_age=50-60|L2_job=white_collar,True,L1_age=50-60
L1_age=50-60|L2_job=white_collar|L3_contact=unknown,3,879,0,879,0,L1_age=50-60|L2_job=white_collar,True,L1_age=50-60
L1_age=<=30|L2_job=blue_collar|L3_contact=cellular,3,1336,0,1336,0,L1_age=<=30|L2_job=blue_collar,True,L1_age=<=30|L2_job=blue_collar
