bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,fallback_from_children,parent_id,is_weak,effective_bucket_id
L1_age=50-60|L2_job=no_income|L3_contact=others,3,28,28,0,0,L1_age=50-60|L2_job=no_income,False,L1_age=50-60|L2_job=no_income|L3_contact=others
L1_age=50-60|L2_job=no_income|L3_contact=unknown,3,58,58,0,0,L1_age=50-60|L2_job=no_income,False,L1_age=50-60|L2_job=no_income|L3_contact=unknown
L1_age=50-60|L2_job=retired|L3_contact=cellular,3,722,722,0,0,L1_age=50-60|L2_job=retired,False,L1_age=50-60|L2_job=retired|L3_contact=cellular
L1_age=50-60|L2_job=retired|L3_contact=telephone,3,114,114,0,0,L1_age=50-60|L2_job=retired,False,L1_age=50-60|L2_job=retired|L3_contact=telephone
L1_age=50-60|L2_job=retired|L3_contact=unknown,3,401,401,0,0,L1_age=50-60|L2_job=retired,False,L1_age=50-60|L2_job=retired|L3_contact=unknown
L1_age=50-60|L2_job=self_emp|L3_contact=cellular,3,345,345,0,0,L1_age=50-60|L2_job=self_emp,False,L1_age=50-60|L2_job=self_emp|L3_contact=cellular
L1_age=50-60|L2_job=self_emp|L3_contact=telephone,3,58,58,0,0,L1_age=50-60|L2_job=self_emp,False,L1_age=50-60|L2_job=self_emp|L3_contact=telephone
L1_age=50-60|L2_job=self_emp|L3_contact=unknown,3,185,185,0,0,L1_age=50-60|L2_job=self_emp,False,L1_age=50-60|L2_job=self_emp|L3_contact=unknown
L1_age=50-60|L2_job=unknown|L3_contact=cellular,3,36,36,0,0,L1_age=50-60|L2_job=unknown,False,L1_age=50-60|L2_job=unknown|L3_contact=cellular
L1_age=50-60|L2_job=unknown|L3_contact=others,3,14,14,0,0,L1_age=50-60|L2_job=unknown,False,L1_age=50-60|L2_job=unknown|L3_contact=others
L1_age=50-60|L2_job=unknown|L3_contact=unknown,3,43,43,0,0,L1_age=50-60|L2_job=unknown,False,L1_age=50-60|L2_job=unknown|L3_contact=unknown
L1_age=50-60|L2_job=white_collar|L3_contact=cellular,3,2207,2207,0,0,L1_age=50-60|L2_job=white_collar,False,L1_age=50-60|L2_job=white_collar|L3_contact=cellular
L1_age=50-60|L2_job=white_collar|L3_contact=telephone,3,345,345,0,0,L1_age=50-60|L2_job=white_collar,False,L1_age=50-60|L2_job=white_collar|L3_contact=telephone
L1_age=50-60|L2_job=white_collar|L3_contact=unknown,3,879,879,0,0,L1_age=50-60|L2_job=white_collar,False,L1_age=50-60|L2_job=white_collar|L3_contact=unknown
L1_age=<=30|L2_job=blue_collar|L3_contact=cellular,3,1336,1336,0,0,L1_age=<=30|L2_job=blue_collar,False,L1_age=<=30|L2_job=blue_collar|L3_contact=cellular
