bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,cost_source,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,use_gain_weak_backoff,threshold_data_source,parent_with_threshold
ROOT,L1,,9491,4066,0.12285322937519756,0.11780619773733399,0.4,0.2,0.1160846040334481,0.6101694915254238,0.6193548387096774,0.6012526096033403,0.07722577471716675,0.11436301032956223,False,4066,45211,0.11698480458295547,0.745705758384051,0.9315639344815685,global_default,f1_regret_bnd,0.4168591127748089,-0.11674284871719257,0.5336019614920015,False,ROOT,True,val,
L1_age=30-40,L1,ROOT,3725,1614,0.10442953020134228,0.10285006195786865,0.4,0.2,0.11090458488228006,0.5740740740740742,0.5886075949367089,0.5602409638554217,0.07868649318463444,0.09789343246592318,True,1614,17687,0.10244812574207045,0.7269436863476003,0.9291503028689342,global_default,f1_regret_bnd,0.3844829960071597,0.4168591127748089,-0.03237611676764923,True,ROOT,True,val,
L1_age=40-50,L1,ROOT,2364,1043,0.09729272419627749,0.10067114093959731,0.3,0.1,0.09971236816874401,0.6133333333333333,0.575,0.6571428571428571,0.0862895493767977,0.11505273250239693,False,1043,11239,0.09066642939763324,0.7656716417910447,0.9432734287744949,global_default,f1_regret_bnd,0.42733141578779166,0.4168591127748089,0.010472303012982742,False,L1_age=40-50,True,val,
L1_age=30-40|L2_job=white_collar,L2,L1_age=30-40,2038,880,0.10942100098135427,0.11477272727272728,0.4,0.2,0.11534090909090909,0.5803108808290156,0.6086956521739131,0.5544554455445545,0.0715909090909091,0.10454545454545454,False,880,9739,0.11746585891775337,0.7297309320148959,0.9156572910179336,global_default,f1_regret_bnd,0.3933790626471974,0.3844829960071597,0.008896066640037725,False,L1_age=30-40|L2_job=white_collar,True,val,
L1_age=50-60,L1,ROOT,1664,766,0.10216346153846154,0.10052219321148825,0.2,0.1,0.08746736292428199,0.6516853932584269,0.5742574257425742,0.7532467532467533,0.06135770234986945,0.13185378590078328,False,766,8067,0.10053303582496591,0.820019603038471,0.9500499500499501,global_default,f1_regret_bnd,0.5028603279842754,0.4168591127748089,0.08600121520946646,False,L1_age=50-60,True,val,
L1_age=30-40|L2_job=white_collar|L3_contact=cellular,L3,L1_age=30-40|L2_job=white_collar,5065,2172,0.1403751233958539,0.14318600368324125,0.4,0.2,0.13604972375690608,0.6243739565943239,0.6493055555555556,0.6012861736334405,0.09530386740331492,0.13259668508287292,True,2172,7237,0.14121873704573717,0.7350869342105946,0.9156834050081983,global_default,f1_regret_bnd,0.39302036543410296,0.3933790626471974,-0.0003586972130944499,True,L1_age=30-40|L2_job=white_collar,True,val,L1_age=30-40|L2_job=white_collar
L1_age=<=30,L1,ROOT,1510,611,0.16821192052980133,0.14893617021276595,0.4,0.2,0.1362520458265139,0.6292134831460674,0.6436781609195402,0.6153846153846154,0.10638297872340426,0.14238952536824878,True,611,7030,0.162873399715505,0.7355769230769231,0.9271978021978022,global_default,f1_regret_bnd,0.38657845859614925,0.4168591127748089,-0.03028065417865966,True,ROOT,True,val,
L1_age=30-40|L2_job=blue_collar,L2,L1_age=30-40,1269,541,0.06855791962174941,0.08133086876155268,0.4,0.2,0.08964879852125693,0.5079365079365079,0.8421052631578947,0.36363636363636365,0.09426987060998152,0.03512014787430684,True,541,6041,0.07333222976328423,0.6456008779952442,0.9399579293945491,global_default,f1_regret_bnd,0.32401783880526946,0.3844829960071597,-0.06046515720189022,True,ROOT,True,val,
L1_age=40-50|L2_job=white_collar,L2,L1_age=40-50,1170,497,0.10512820512820513,0.08450704225352113,0.3,0.1,0.11468812877263582,0.4615384615384615,0.42857142857142855,0.5,0.06237424547283702,0.09859154929577464,True,497,5571,0.10716208939149165,0.6972527472527472,0.9170068027210885,global_default,f1_regret_bnd,0.2844760872929886,0.42733141578779166,-0.14285532849480304,True,L1_age=40-50,True,val,L1_age=40-50
L1_age=40-50|L2_job=blue_collar,L2,L1_age=40-50,888,376,0.0686936936936937,0.05585106382978723,0.3,0.1,0.07513297872340426,0.35714285714285715,0.7142857142857143,0.23809523809523808,0.10372340425531915,0.018617021276595744,True,376,4221,0.06799336650082918,0.5782025486250838,0.951307847082495,global_default,f1_regret_bnd,0.17828647416413376,0.42733141578779166,-0.2490449416236579,True,L1_age=40-50,True,val,L1_age=40-50
L1_age=40-50|L2_job=white_collar|L3_contact=cellular,L3,L1_age=40-50|L2_job=white_collar,2636,1111,0.13922610015174508,0.12151215121512152,0.4,0.2,0.12488748874887488,0.593103448275862,0.5548387096774193,0.6370370370370371,0.06840684068406841,0.1395139513951395,False,1111,3747,0.13397384574326127,0.7565308136004858,0.9255995749848209,global_default,f1_regret_bnd,0.3998091188429187,0.2844760872929886,0.11533303154993008,False,L1_age=40-50|L2_job=white_collar|L3_contact=cellular,True,val,
L1_age=50-60|L2_job=white_collar,L2,L1_age=50-60,700,326,0.11857142857142858,0.13496932515337423,0.2,0.1,0.11196319018404909,0.6896551724137931,0.6976744186046512,0.6818181818181818,0.12269938650306748,0.13190184049079753,True,326,3431,0.12153890993879335,0.7628949065119277,0.9413281753707285,global_default,f1_regret_bnd,0.45499259572667655,0.5028603279842754,-0.04786773225759883,True,L1_age=50-60,True,val,L1_age=50-60
L1_age=30-40|L2_job=blue_collar|L3_contact=cellular,L3,L1_age=30-40|L2_job=blue_collar,2386,994,0.09932942162615256,0.1006036217303823,0.4,0.2,0.1073943661971831,0.5685279187817258,0.5773195876288659,0.56,0.07243460764587525,0.09758551307847083,False,994,3380,0.09970414201183432,0.7302237136465325,0.9327181208053691,global_default,f1_regret_bnd,0.3886989449386674,0.32401783880526946,0.06468110613339795,False,L1_age=30-40|L2_job=blue_collar|L3_contact=cellular,True,val,
