bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,cost_source,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,parent_with_threshold,n_test,pos_rate_test,BND_ratio_test,POS_Coverage_test,regret_test,fold,pos_rate
ROOT,L1,,22398,9599,0.2602018037324761,0.26054797374726535,0.4,0.2,0.39649963537868527,0.5676929565584141,0.6006247211066488,0.5381847261095561,0.24658818626940307,0.23346181893947285,False,9599,160000,0.260575,0.5882667783830395,0.8124894871580812,global_default,f1_regret_bnd,0.04789922804502732,-0.3,0.3478992280450273,False,ROOT,,,,,,,1,0.260575
L1_group=C,L1,ROOT,5603,2417,0.2737819025522042,0.2887877534133223,0.4,0.2,0.3767066611501862,0.6511289147851421,0.6622222222222223,0.6404011461318052,0.2126603227141084,0.27927182457592054,False,2417,40123,0.2838272312638636,0.6424809686447275,0.8317998236463859,global_default,f1_regret_bnd,0.16809209227790173,0.04789922804502732,0.12019286423287441,False,L1_group=C,,,,,,,1,0.2838272312638636
L1_group=D,L1,ROOT,5627,2372,0.4314910254131864,0.4139966273187184,0.4,0.3,0.4169477234401349,0.7099132023755139,0.6437448218724109,0.7912423625254582,0.11509274873524451,0.5088532883642496,False,2372,40015,0.4244158440584781,0.6704413251476211,0.8181841492183036,global_default,f1_regret_bnd,0.23541910456775675,0.04789922804502732,0.18751987652272945,False,L1_group=D,,,,,,,1,0.4244158440584781
L1_group=B,L1,ROOT,5591,2403,0.21212663208728313,0.22388680815647108,0.4,0.2,0.31585518102372034,0.5963114754098361,0.6643835616438356,0.5408921933085502,0.18601747815230962,0.1822721598002497,False,2403,39988,0.2084375312593778,0.6489983754746504,0.8469906415380168,global_default,f1_regret_bnd,0.18744755530996093,0.04789922804502732,0.1395483272649336,False,L1_group=B,,,,,,,1,0.2084375312593778
L1_group=A,L1,ROOT,5570,2402,0.13859964093357272,0.11948376353039133,0.4,0.2,0.2331390507910075,0.4881889763779528,0.5610859728506787,0.43205574912891986,0.14487926727726894,0.09200666111573688,False,2402,39874,0.12504388824798113,0.6297394584888099,0.8278251414732993,global_default,f1_regret_bnd,0.1826102919483108,0.04789922804502732,0.13471106390328347,False,L1_group=A,,,,,,,1,0.12504388824798113
L1_group=D|L2_x1=b4,L2,L1_group=D,1345,571,0.5189591078066914,0.5201401050788091,0.4,0.2,0.3213660245183888,0.8089887640449438,0.7730061349693251,0.8484848484848485,0.19964973730297722,0.5709281961471103,False,571,9598,0.5210460512606793,0.6413957089139571,0.8681830470151637,global_default,f1_regret_bnd,0.3877978708750664,0.23541910456775675,0.15237876630730965,False,L1_group=D|L2_x1=b4,,,,,,,1,0.5210460512606793
L1_group=A|L2_x1=b4,L2,L1_group=A,1329,575,0.1437170805116629,0.1391304347826087,0.4,0.2,0.2982608695652174,0.381679389312977,0.49019607843137253,0.3125,0.1408695652173913,0.08869565217391304,True,575,9540,0.14580712788259959,0.5724116161616162,0.7675252525252525,global_default,f1_regret_bnd,0.01298373713906395,0.1826102919483108,-0.16962655480924685,True,L1_group=A,L1_group=A,,,,,,1,0.14580712788259959
L1_group=C|L2_x1=b3,L2,L1_group=C,1320,563,0.28106060606060607,0.2984014209591474,0.4,0.2,0.3285968028419183,0.7027027027027026,0.7090909090909091,0.6964285714285714,0.21847246891651864,0.29307282415630553,False,563,9427,0.27909196987376683,0.670999095840868,0.8509342977697406,global_default,f1_regret_bnd,0.26486966540252505,0.16809209227790173,0.09677757312462332,False,L1_group=C|L2_x1=b3,,,,,,,1,0.27909196987376683
L1_group=D|L2_x1=b3,L2,L1_group=D,1316,561,0.47112462006079026,0.46524064171123,0.4,0.3,0.3663101604278075,0.745704467353952,0.67601246105919,0.8314176245210728,0.0962566844919786,0.5721925133689839,False,561,9396,0.4567901234567901,0.6907088122605365,0.8485057471264369,global_default,f1_regret_bnd,0.33126596468015523,0.23541910456775675,0.09584686011239849,False,L1_group=D|L2_x1=b3,,,,,,,1,0.4567901234567901
L1_group=C|L2_x1=b2,L2,L1_group=C,1313,553,0.16831683168316833,0.19168173598553345,0.4,0.2,0.33273056057866185,0.5180722891566266,0.7166666666666667,0.4056603773584906,0.21880650994575046,0.10849909584086799,True,553,9347,0.1825184551192896,0.5853805242497151,0.8285002743657929,global_default,f1_regret_bnd,0.07593847360508954,0.16809209227790173,-0.09215361867281219,True,L1_group=C,L1_group=C,,,,,,1,0.1825184551192896
