bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,threshold_n_samples,use_parent_threshold,parent_with_threshold,score_metric,score_value,parent_score_value,gain_value,threshold_source_bucket,is_weak,fold
L1_group=C|L2_x1=b4,L2,L1_group=C,1300,564,0.3453846153846154,0.33156028368794327,0.4,0.2,0.3882978723404255,0.6697674418604651,0.5925925925925926,0.7700534759358288,0.26063829787234044,0.4308510638297872,564,True,L1_group=C,f1_regret_bnd,0.15115042058386938,0.16809209227790173,-0.01694167169403235,L1_group=C,True,1
L1_group=C|L2_x1=b5,L2,L1_group=C,1030,454,0.4563106796116505,0.4008810572687225,0.5,0.2,0.2786343612334802,0.8086253369272236,0.7936507936507936,0.8241758241758241,0.16079295154185022,0.41629955947136565,454,False,,f1_regret_bnd,0.4495944999228183,0.16809209227790173,0.2815024076449166,L1_group=C|L2_x1=b5,False,1
L1_group=D|L2_x1=b1,L2,L1_group=D,631,624,0.24564183835182252,0.25801282051282054,0.4,0.3,0.3894230769230769,0.6037735849056604,0.6114649681528662,0.5962732919254659,0.17467948717948717,0.2516025641025641,624,True,L1_group=D,f1_regret_bnd,0.12701076439283984,0.23541910456775675,-0.1084083401749169,L1_group=D,True,1
L1_group=D|L2_x1=b2,L2,L1_group=D,1305,537,0.2827586206896552,0.27932960893854747,0.4,0.3,0.4059590316573557,0.5902777777777779,0.6159420289855072,0.5666666666666667,0.11173184357541899,0.2569832402234637,537,True,L1_group=D,f1_regret_bnd,0.1284528243327127,0.23541910456775675,-0.10696628023504404,L1_group=D,True,1
L1_group=D|L2_x1=b3,L2,L1_group=D,1316,561,0.47112462006079026,0.46524064171123,0.4,0.3,0.3663101604278075,0.745704467353952,0.67601246105919,0.8314176245210728,0.0962566844919786,0.5721925133689839,561,False,,f1_regret_bnd,0.33126596468015523,0.23541910456775675,0.09584686011239849,L1_group=D|L2_x1=b3,False,1
L1_group=D|L2_x1=b4,L2,L1_group=D,1345,571,0.5189591078066914,0.5201401050788091,0.4,0.2,0.3213660245183888,0.8089887640449438,0.7730061349693251,0.8484848484848485,0.19964973730297722,0.5709281961471103,571,False,,f1_regret_bnd,0.3877978708750664,0.23541910456775675,0.15237876630730965,L1_group=D|L2_x1=b4,False,1
L1_group=D|L2_x1=b5,L2,L1_group=D,1025,428,0.5541463414634147,0.5537383177570093,0.4,0.2,0.26635514018691586,0.830827067669173,0.7491525423728813,0.9324894514767933,0.11448598130841121,0.6892523364485982,428,False,,f1_regret_bnd,0.5072289368280516,0.23541910456775675,0.27180983226029487,L1_group=D|L2_x1=b5,False,1
L1_group=A|L2_x1=b1|L3_x2=b1,L3,L1_group=A|L2_x1=b1,461,201,0.0824295010845987,0.09950248756218906,0.4,0.2,0.26865671641791045,0.16666666666666669,0.5,0.1,0.004975124378109453,0.01990049751243781,201,True,L1_group=A,f1_regret_bnd,-0.10447761194029849,-0.06262359920896507,-0.04185401273133342,L1_group=A,True,1
L1_group=A|L2_x1=b1|L3_x2=b2,L3,L1_group=A|L2_x1=b1,355,371,0.061971830985915494,0.03773584905660377,0.4,0.2,0.11320754716981132,0.0,0.0,0.0,0.0,0.0,371,True,L1_group=A,f1_regret_bnd,-0.11320754716981132,-0.06262359920896507,-0.050583947960846254,L1_group=A,True,1
L1_group=A|L2_x1=b1|L3_x2=b3,L3,L1_group=A|L2_x1=b1,494,312,0.0465587044534413,0.03205128205128205,0.4,0.2,0.09615384615384616,0.0,0.0,0.0,0.0,0.0,312,True,L1_group=A,f1_regret_bnd,-0.09615384615384616,-0.06262359920896507,-0.03353024694488109,L1_group=A,True,1
L1_group=A|L2_x1=b1|L3_x2=b4,L3,L1_group=A|L2_x1=b1,615,253,0.030894308943089432,0.02766798418972332,0.4,0.2,0.08300395256916997,0.0,0.0,0.0,0.0,0.0,253,True,L1_group=A,f1_regret_bnd,-0.08300395256916997,-0.06262359920896507,-0.020380353360204898,L1_group=A,True,1
L1_group=A|L2_x1=b1|L3_x2=b5,L3,L1_group=A|L2_x1=b1,515,228,0.031067961165048542,0.043859649122807015,0.4,0.3,0.12280701754385964,0.18181818181818182,1.0,0.1,0.008771929824561403,0.0043859649122807015,228,False,,f1_regret_bnd,0.05462519936204148,-0.06262359920896507,0.11724879857100655,L1_group=A|L2_x1=b1|L3_x2=b5,False,1
L1_group=A|L2_x1=b2|L3_x2=b1,L3,L1_group=A|L2_x1=b2,197,414,0.04568527918781726,0.07729468599033816,0.4,0.3,0.2041062801932367,0.26086956521739124,0.42857142857142855,0.1875,0.004830917874396135,0.033816425120772944,414,False,,f1_regret_bnd,0.05434782608695647,-0.07772500154216276,0.13207282762911923,L1_group=A|L2_x1=b2|L3_x2=b1,False,1
L1_group=A|L2_x1=b2|L3_x2=b2,L3,L1_group=A|L2_x1=b2,668,787,0.061377245508982034,0.05717916137229987,0.5,0.4,0.15946632782719186,0.11764705882352941,0.5,0.06666666666666667,0.010165184243964422,0.007623888182973317,787,False,,f1_regret_bnd,-0.046901861125644664,-0.07772500154216276,0.030823140416518097,L1_group=A|L2_x1=b2|L3_x2=b2,False,1
L1_group=A|L2_x1=b2|L3_x2=b3,L3,L1_group=A|L2_x1=b2,797,680,0.05897114178168131,0.05588235294117647,0.4,0.2,0.16544117647058823,0.0,0.0,0.0,0.0029411764705882353,0.0,680,True,L1_group=A,f1_regret_bnd,-0.16691176470588234,-0.07772500154216276,-0.08918676316371958,L1_group=A,True,1
L1_group=A|L2_x1=b2|L3_x2=b4,L3,L1_group=A|L2_x1=b2,672,490,0.06994047619047619,0.061224489795918366,0.4,0.3,0.16020408163265307,0.17142857142857143,0.6,0.1,0.012244897959183673,0.01020408163265306,490,False,,f1_regret_bnd,0.005102040816326527,-0.07772500154216276,0.08282704235848928,L1_group=A|L2_x1=b2|L3_x2=b4,False,1
L1_group=A|L2_x1=b2|L3_x2=b5,L3,L1_group=A|L2_x1=b2,400,431,0.1025,0.0765661252900232,0.5,0.4,0.19721577726218098,0.29166666666666663,0.4666666666666667,0.21212121212121213,0.018561484918793503,0.03480278422273782,431,False,,f1_regret_bnd,0.0851701469450889,-0.07772500154216276,0.16289514848725167,L1_group=A|L2_x1=b2|L3_x2=b5,False,1
L1_group=A|L2_x1=b3|L3_x2=b1,L3,L1_group=A|L2_x1=b3,204,432,0.049019607843137254,0.03935185185185185,0.4,0.2,0.11805555555555555,0.0,0.0,0.0,0.0,0.0,432,True,L1_group=A,f1_regret_bnd,-0.11805555555555555,0.009734388577064886,-0.12778994413262043,L1_group=A,True,1
L1_group=A|L2_x1=b3|L3_x2=b2,L3,L1_group=A|L2_x1=b3,516,732,0.09108527131782945,0.05191256830601093,0.4,0.2,0.15368852459016394,0.0,0.0,0.0,0.030054644808743168,0.0,732,True,L1_group=A,f1_regret_bnd,-0.1687158469945355,0.009734388577064886,-0.1784502355716004,L1_group=A,True,1
L1_group=A|L2_x1=b3|L3_x2=b3,L3,L1_group=A|L2_x1=b3,631,647,0.1045958795562599,0.09891808346213292,0.4,0.3,0.23261205564142196,0.27906976744186046,0.5454545454545454,0.1875,0.04482225656877898,0.03400309119010819,647,False,,f1_regret_bnd,0.024046583516049016,0.009734388577064886,0.01431219493898413,L1_group=A|L2_x1=b3|L3_x2=b3,False,1
