model,Precision,Recall,F1,BAC,AUC,MCC,Kappa,BND_ratio,POS_Coverage,Regret
BTTWD,0.5891605666585878,0.7792725438017163,0.6709925307821664,0.793876718885104,0.8682707782745773,0.5428619487470905,0.532146000275989,0.118205,0.275585,0.31458749999999996
LogReg,0.5231743058688615,0.6931919361939857,0.5963000597160893,0.7352737267296088,0.8110059312147706,0.4344225647568834,0.4257497040200561,0.0,,0.40446499999999996
RandomForest,0.6011210272913439,0.7781786780718497,0.6782835171642339,0.7981070944541508,0.8711656934886716,0.5535294287062056,0.544299955318814,0.0,,0.30795000000000006
KNN,0.46785622770793767,0.7355220424370008,0.5719185077878324,0.7203569415439407,0.7857548053492093,0.39337680651386586,0.3718299242263833,0.0,,0.424735
XGBoost,0.6237376251877305,0.7676249068545598,0.6882380085498692,0.8022191972514234,0.8782521360224791,0.5684492605397755,0.5624268700607054,0.0,,0.302315
