model,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,BAC_mean,BAC_std,AUC_mean,AUC_std,MCC_mean,MCC_std,Kappa_mean,Kappa_std,BND_ratio_mean,BND_ratio_std,POS_Coverage_mean,POS_Coverage_std,Regret_mean,Regret_std
BTTWD,0.6364877829638376,0.004262849134448407,0.9128242790272226,0.003926249734258308,0.7499958573695408,0.001954302913113495,0.8695306890739474,0.0008612168202019485,0.9468337429395431,0.00106550932515592,0.6673096996233089,0.002278944339828139,0.6456123900720694,0.0033295499348494177,0.11807000000000001,0.012753766600498857,0.272365,0.01025884679191575,0.21073749999999997,0.0016580297041971293
LogReg,0.7121632877993724,0.004957570286902617,0.8613549512582784,0.002611727893197291,0.7796725541188689,0.002796650643467984,0.8726576234099607,0.0014795298509705285,0.9489685048444916,0.0009221240577205159,0.702682346125323,0.0038022008004429337,0.6966574905904277,0.004188105919045874,0.0,0.0,,,0.22565500000000002,0.0025779061270729013
RandomForest,0.6766451289112484,0.003737615613182204,0.8677961074763207,0.0033464109474323875,0.7603790646160833,0.00205540761086338,0.864788867810329,0.001317949063969267,0.939950348410072,0.0006448257096154122,0.6768905494282554,0.0027845738722205938,0.6667777033973696,0.003133224029496683,0.0,0.0,,,0.23584999999999998,0.0025807460161743935
KNN,0.5563206420665496,0.003082919122737035,0.8212878599322225,0.002520706753230644,0.6633171134769975,0.002468629090883682,0.8014971441094676,0.001770574533557223,0.8770441342661801,0.0016419007026209271,0.541081851437322,0.0035383564523992286,0.5203702445973473,0.003838328939947008,0.0,0.0,,,0.34241,0.00310699211456998
XGBoost,0.7118672596112827,0.004288285401918043,0.8567941010944462,0.0034756017572090624,0.7776237193967578,0.0026462353359788236,0.8706038515511076,0.0017156964447726816,0.9473499777665285,0.0009580457913038443,0.6997800364967431,0.003633884301074478,0.6940944732258134,0.003849224012764612,0.0,0.0,,,0.229875,0.0032574146189884978
