bucket_id,Precision,Recall,F1,BAC,AUC,MCC,Kappa,Regret,BND_ratio,POS_Coverage,n_samples,alpha,beta
L1_UniqueCarrier=AA|L2_Origin=CLT|L3_CRSDepTime=morning|L4_Distance=800-1500,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,27,0.3,0.2
L1_UniqueCarrier=AA|L2_Origin=CLT|L3_CRSDepTime=morning|L4_Distance=<=300,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.25,0.0,0.0,4,0.3,0.2
L1_UniqueCarrier=AA|L2_Origin=CLT|L3_CRSDepTime=night|L4_Distance=800-1500,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,5,0.3,0.2
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=afternoon|L4_Distance=1500-5000,0.0,0.0,0.0,0.5,0.25,0.0,0.0,1.6,0.6,0.0,5,0.3,0.2
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=afternoon|L4_Distance=300-800,0.0,0.0,0.0,0.5,0.5745614035087718,0.0,0.0,1.15,0.04,0.0,50,0.3,0.2
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=afternoon|L4_Distance=800-1500,0.5,0.16666666666666666,0.25,0.5654761904761905,0.6369047619047619,0.21216710619787638,0.17741935483870974,0.75,0.38235294117647056,0.058823529411764705,34,0.3,0.2
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=evening|L4_Distance=1500-5000,0.0,0.0,0.0,1.0,,0.0,,0.3333333333333333,0.3333333333333333,0.0,3,0.3,0.2
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=evening|L4_Distance=300-800,0.0,0.0,0.0,0.5,0.8,0.0,0.0,0.7777777777777778,0.4444444444444444,0.0,18,0.3,0.2
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=evening|L4_Distance=800-1500,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.625,0.25,0.0,4,0.3,0.2
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=morning|L4_Distance=1500-5000,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.10714285714285714,0.07142857142857142,0.0,14,0.3,0.2
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=morning|L4_Distance=300-800,0.0,0.0,0.0,0.5,0.6270270270270271,0.0,0.0,0.5952380952380952,0.0,0.0,42,0.3,0.2
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=morning|L4_Distance=800-1500,0.0,0.0,0.0,0.5,0.7386363636363636,0.0,0.0,0.3645833333333333,0.041666666666666664,0.0,48,0.3,0.2
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=night|L4_Distance=300-800,0.0,0.0,0.0,0.5,0.8888888888888888,0.0,0.0,0.5,0.0,0.0,10,0.3,0.2
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=night|L4_Distance=800-1500,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,5,0.3,0.2
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=afternoon|L4_Distance=1500-5000,0.1111111111111111,0.045454545454545456,0.06451612903225805,0.4819109461966605,0.43460111317254174,-0.053148067795841795,-0.04693140794223827,1.0458333333333334,0.5166666666666667,0.075,120,0.3,0.2
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=afternoon|L4_Distance=300-800,0.29411764705882354,0.06329113924050633,0.10416666666666667,0.5185164667756141,0.6228429770379192,0.07491203966470951,0.0548287881894608,0.7220149253731343,0.19402985074626866,0.03171641791044776,536,0.3,0.2
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=afternoon|L4_Distance=800-1500,0.29577464788732394,0.08235294117647059,0.12883435582822086,0.5125723515951003,0.6018396374568133,0.04331120949522838,0.03377490628126467,0.9871567759078831,0.4446412754650133,0.06288751107174491,1129,0.3,0.2
