bucket_id,parent_id,level,n_train,n_val,BAC,F1,AUC,Regret,BND_ratio,POS_coverage,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,baseline_precision,baseline_recall,baseline_f1,baseline_bac,baseline_auc,baseline_mcc,baseline_kappa,baseline_regret,baseline_bnd_ratio,baseline_pos_coverage
L1_UniqueCarrier=OH|L2_Origin=CVG|L3_CRSDepTime=evening|L4_Distance=800-1500,L1_UniqueCarrier=OH|L2_Origin=CVG|L3_CRSDepTime=evening,4,43,19,,,,,,,bac_regret,,-0.6005692599620494,,True,L1_UniqueCarrier=OH|L2_Origin=CVG,,,,,,,,,,
L1_UniqueCarrier=OH|L2_Origin=CVG|L3_CRSDepTime=evening|L4_Distance=<=300,L1_UniqueCarrier=OH|L2_Origin=CVG|L3_CRSDepTime=evening,4,185,82,0.5,0.0,0.6293859649122807,0.3658536585365853,0.0,0.0,bac_regret,0.1341463414634146,-0.6005692599620494,0.734715601425464,False,L1_UniqueCarrier=OH|L2_Origin=CVG|L3_CRSDepTime=evening|L4_Distance=<=300,,,,,,,,,,
L1_UniqueCarrier=OH|L2_Origin=CVG|L3_CRSDepTime=morning|L4_Distance=300-800,L1_UniqueCarrier=OH|L2_Origin=CVG|L3_CRSDepTime=morning,4,359,172,0.5,0.0,0.637171052631579,0.5813953488372093,0.0,0.0,bac_regret,-0.0813953488372093,-0.0333333333333333,-0.048062015503876,True,L1_UniqueCarrier=OH|L2_Origin=CVG|L3_CRSDepTime=morning,,,,,,,,,,
L1_UniqueCarrier=OH|L2_Origin=CVG|L3_CRSDepTime=morning|L4_Distance=800-1500,L1_UniqueCarrier=OH|L2_Origin=CVG|L3_CRSDepTime=morning,4,69,23,0.5,0.0,0.7619047619047619,0.4347826086956521,0.0,0.0,bac_regret,0.0652173913043478,-0.0333333333333333,0.0985507246376811,False,L1_UniqueCarrier=OH|L2_Origin=CVG|L3_CRSDepTime=morning|L4_Distance=800-1500,,,,,,,,,,
L1_UniqueCarrier=OH|L2_Origin=CVG|L3_CRSDepTime=morning|L4_Distance=<=300,L1_UniqueCarrier=OH|L2_Origin=CVG|L3_CRSDepTime=morning,4,181,93,0.5,0.0,0.4495884773662552,0.6451612903225806,0.0,0.0,bac_regret,-0.1451612903225806,-0.0333333333333333,-0.1118279569892473,True,L1_UniqueCarrier=OH|L2_Origin=CVG|L3_CRSDepTime=morning,,,,,,,,,,
L1_UniqueCarrier=OH|L2_Origin=DCA|L3_CRSDepTime=afternoon|L4_Distance=300-800,L1_UniqueCarrier=OH|L2_Origin=DCA|L3_CRSDepTime=afternoon,4,38,14,,,,,,,bac_regret,,-0.2197298108140083,,True,ROOT,,,,,,,,,,
L1_UniqueCarrier=OH|L2_Origin=DCA|L3_CRSDepTime=afternoon|L4_Distance=others,L1_UniqueCarrier=OH|L2_Origin=DCA|L3_CRSDepTime=afternoon,4,18,5,,,,,,,bac_regret,,-0.2197298108140083,,True,ROOT,,,,,,,,,,
L1_UniqueCarrier=OH|L2_Origin=DCA|L3_CRSDepTime=morning|L4_Distance=300-800,L1_UniqueCarrier=OH|L2_Origin=DCA|L3_CRSDepTime=morning,4,58,27,0.2857142857142857,0.0,0.746031746031746,0.7962962962962963,0.5185185185185185,0.0,bac_regret,-0.5105820105820106,-0.4389978213507626,-0.0715841892312479,True,L1_UniqueCarrier=OH|L2_Origin=DCA|L3_CRSDepTime=morning,,,,,,,,,,
L1_UniqueCarrier=OH|L2_Origin=DCA|L3_CRSDepTime=morning|L4_Distance=others,L1_UniqueCarrier=OH|L2_Origin=DCA|L3_CRSDepTime=morning,4,16,7,,,,,,,bac_regret,,-0.4389978213507626,,True,L1_UniqueCarrier=OH|L2_Origin=DCA|L3_CRSDepTime=morning,,,,,,,,,,
L1_UniqueCarrier=OH|L2_Origin=JFK|L3_CRSDepTime=afternoon|L4_Distance=300-800,L1_UniqueCarrier=OH|L2_Origin=JFK|L3_CRSDepTime=afternoon,4,78,35,0.3928571428571428,0.55,0.5612244897959184,0.7285714285714285,0.2571428571428571,0.7428571428571429,bac_regret,-0.3357142857142857,-0.4727564102564102,0.1370421245421245,False,L1_UniqueCarrier=OH|L2_Origin=JFK|L3_CRSDepTime=afternoon|L4_Distance=300-800,,,,,,,,,,
L1_UniqueCarrier=OH|L2_Origin=JFK|L3_CRSDepTime=afternoon|L4_Distance=<=300,L1_UniqueCarrier=OH|L2_Origin=JFK|L3_CRSDepTime=afternoon,4,81,35,0.25,0.2857142857142857,0.462962962962963,0.9428571428571428,0.4285714285714285,0.5714285714285714,bac_regret,-0.6928571428571428,-0.4727564102564102,-0.2201007326007326,True,L1_UniqueCarrier=OH|L2_Origin=JFK,,,,,,,,,,
L1_UniqueCarrier=OH|L2_Origin=JFK|L3_CRSDepTime=afternoon|L4_Distance=others,L1_UniqueCarrier=OH|L2_Origin=JFK|L3_CRSDepTime=afternoon,4,13,8,,,,,,,bac_regret,,-0.4727564102564102,,True,L1_UniqueCarrier=OH|L2_Origin=JFK,,,,,,,,,,
L1_UniqueCarrier=OH|L2_Origin=JFK|L3_CRSDepTime=evening|L4_Distance=300-800,L1_UniqueCarrier=OH|L2_Origin=JFK|L3_CRSDepTime=evening,4,44,20,0.5,0.5714285714285715,0.7708333333333333,0.6,0.0,1.0,bac_regret,-0.0999999999999999,-0.0217391304347825,-0.0782608695652173,True,L1_UniqueCarrier=OH|L2_Origin=JFK|L3_CRSDepTime=evening,,,,,,,,,,
L1_UniqueCarrier=OH|L2_Origin=JFK|L3_CRSDepTime=evening|L4_Distance=<=300,L1_UniqueCarrier=OH|L2_Origin=JFK|L3_CRSDepTime=evening,4,58,15,,,,,,,bac_regret,,-0.0217391304347825,,True,L1_UniqueCarrier=OH|L2_Origin=JFK|L3_CRSDepTime=evening,,,,,,,,,,
