bucket_id,alpha,beta,threshold_mode,threshold_source_bucket,is_weak
L1_UniqueCarrier=AA|L2_Origin=JFK,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=AA|L2_Origin=LAS,0.4,0.3,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=LAS,False
L1_UniqueCarrier=AA|L2_Origin=LAX,0.4,0.3,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=LAX,False
L1_UniqueCarrier=AA|L2_Origin=LGA,0.3,0.2,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=LGA,False
L1_UniqueCarrier=AA|L2_Origin=MCI,0.3,0.2,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=MCI,False
L1_UniqueCarrier=AA|L2_Origin=MCO,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=AA|L2_Origin=MEM,0.4,0.3,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=MEM,False
L1_UniqueCarrier=AA|L2_Origin=MIA,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=AA|L2_Origin=MKE,0.2,0.1,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=MKE,False
L1_UniqueCarrier=AA|L2_Origin=MSP,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=AA|L2_Origin=MSY,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=AA|L2_Origin=OAK,0.4,0.3,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=OAK,False
L1_UniqueCarrier=AA|L2_Origin=OKC,0.4,0.3,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=OKC,False
L1_UniqueCarrier=AA|L2_Origin=ONT,0.5,0.4,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=ONT,False
L1_UniqueCarrier=AA|L2_Origin=ORD,0.3,0.2,bucket_wise,ROOT,True
L1_UniqueCarrier=AA|L2_Origin=OTHER_ORIGIN,0.3,0.2,bucket_wise,L1_UniqueCarrier=AA|L2_Origin=OTHER_ORIGIN,False
