bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_UniqueCarrier=AA|L2_Origin=CLT|L3_CRSDepTime=afternoon|L4_Distance=800-1500,4,24,24,0,L1_UniqueCarrier=AA|L2_Origin=CLT|L3_CRSDepTime=afternoon,False,L1_UniqueCarrier=AA|L2_Origin=CLT|L3_CRSDepTime=afternoon|L4_Distance=800-1500,0
L1_UniqueCarrier=AA|L2_Origin=CLT|L3_CRSDepTime=afternoon|L4_Distance=others,4,5,0,5,L1_UniqueCarrier=AA|L2_Origin=CLT|L3_CRSDepTime=afternoon,True,L1_UniqueCarrier=AA|L2_Origin=CLT,0
L1_UniqueCarrier=AA|L2_Origin=CLT,2,0,60,0,L1_UniqueCarrier=AA,False,L1_UniqueCarrier=AA|L2_Origin=CLT,60
L1_UniqueCarrier=AA|L2_Origin=CLT|L3_CRSDepTime=evening|L4_Distance=800-1500,4,10,0,10,L1_UniqueCarrier=AA|L2_Origin=CLT|L3_CRSDepTime=evening,True,L1_UniqueCarrier=AA|L2_Origin=CLT,0
L1_UniqueCarrier=AA|L2_Origin=CLT|L3_CRSDepTime=evening|L4_Distance=others,4,8,0,8,L1_UniqueCarrier=AA|L2_Origin=CLT|L3_CRSDepTime=evening,True,L1_UniqueCarrier=AA|L2_Origin=CLT,0
L1_UniqueCarrier=AA|L2_Origin=CLT|L3_CRSDepTime=morning|L4_Distance=800-1500,4,27,0,27,L1_UniqueCarrier=AA|L2_Origin=CLT|L3_CRSDepTime=morning,True,L1_UniqueCarrier=AA|L2_Origin=CLT,0
L1_UniqueCarrier=AA|L2_Origin=CLT|L3_CRSDepTime=morning|L4_Distance=others,4,6,0,6,L1_UniqueCarrier=AA|L2_Origin=CLT|L3_CRSDepTime=morning,True,L1_UniqueCarrier=AA|L2_Origin=CLT,0
L1_UniqueCarrier=AA|L2_Origin=CLT|L3_CRSDepTime=others,3,4,0,4,L1_UniqueCarrier=AA|L2_Origin=CLT,True,L1_UniqueCarrier=AA|L2_Origin=CLT,0
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=afternoon|L4_Distance=300-800,4,49,0,49,L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=afternoon,True,ROOT,0
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=afternoon|L4_Distance=800-1500,4,26,26,0,L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=afternoon,False,L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=afternoon|L4_Distance=800-1500,0
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=afternoon|L4_Distance=others,4,1,0,1,L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=afternoon,True,ROOT,0
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=evening|L4_Distance=300-800,4,27,0,27,L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=evening,True,L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=evening,0
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=evening,3,0,29,0,L1_UniqueCarrier=AA|L2_Origin=DEN,False,L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=evening,29
L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=evening|L4_Distance=others,4,2,0,2,L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=evening,True,L1_UniqueCarrier=AA|L2_Origin=DEN|L3_CRSDepTime=evening,0
