bucket_id,Precision,Recall,F1,BAC,AUC,MCC,Kappa,Regret,BND_ratio,POS_Coverage,n_samples,alpha,beta
L1_age=mid|L2_education=high|L3_hours-per-week=high_hours,0.7941176470588235,0.6506024096385542,0.7152317880794702,0.7714550509731233,0.8783132530120482,0.5679370320139109,0.561245508982036,0.22417840375586853,0.29577464788732394,0.3192488262910798,213,0.5,0.2
L1_age=mid|L2_education=high|L3_hours-per-week=low_hours,0.8181818181818182,0.5625,0.6666666666666666,0.7709407216494846,0.9362113402061856,0.6373143669572766,0.6231937754723972,0.09513274336283185,0.09734513274336283,0.09734513274336283,113,0.5,0.2
L1_age=mid|L2_education=high|L3_hours-per-week=normal_hours,0.7468354430379747,0.5315315315315315,0.6210526315789474,0.7406401376250622,0.9145275929195528,0.5488495531384008,0.5371090789673116,0.15667976424361493,0.21021611001964635,0.15520628683693516,509,0.5,0.2
L1_age=mid|L2_education=low|L3_hours-per-week=high_hours,0.0,0.0,0.0,1.0,,0.0,,0.125,0.5,0.0,2,0.5,0.2
L1_age=mid|L2_education=low|L3_hours-per-week=low_hours,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,6,0.5,0.2
L1_age=mid|L2_education=low|L3_hours-per-week=normal_hours,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,27,0.5,0.2
L1_age=mid|L2_education=mid|L3_hours-per-week=high_hours,1.0,0.16666666666666666,0.2857142857142857,0.5833333333333334,0.702411714039621,0.3864007706456543,0.2598187311178246,0.17006802721088435,0.20408163265306123,0.02040816326530612,147,0.5,0.2
L1_age=mid|L2_education=mid|L3_hours-per-week=low_hours,1.0,0.5,0.6666666666666666,0.75,0.9887640449438202,0.6954823162194083,0.652014652014652,0.03684210526315789,0.042105263157894736,0.031578947368421054,95,0.5,0.2
L1_age=mid|L2_education=mid|L3_hours-per-week=normal_hours,1.0,0.17142857142857143,0.2926829268292683,0.5857142857142857,0.8560730018879799,0.4014171877875767,0.2775485251413724,0.09815950920245399,0.11042944785276074,0.012269938650306749,489,0.5,0.2
L1_age=mid|L2_education=top|L3_hours-per-week=high_hours,0.84,0.9130434782608695,0.8749999999999999,0.8136645962732919,0.937888198757764,0.6499243466086647,0.645367412140575,0.17567567567567569,0.16216216216216217,0.6756756756756757,37,0.5,0.2
L1_age=mid|L2_education=top|L3_hours-per-week=low_hours,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016666666666666666,0.06666666666666667,0.2,15,0.5,0.2
L1_age=mid|L2_education=top|L3_hours-per-week=normal_hours,0.8636363636363636,0.8260869565217391,0.8444444444444444,0.8661684782608696,0.9415760869565217,0.7373633501503364,0.736842105263158,0.12272727272727273,0.18181818181818182,0.4,55,0.5,0.2
L1_age=old|L2_education=high|L3_hours-per-week=high_hours,0.7650273224043715,0.8235294117647058,0.7932011331444759,0.7645044319097503,0.8491136180499597,0.534210564279248,0.5323548491728836,0.2175632911392405,0.23417721518987342,0.5791139240506329,316,0.5,0.2
L1_age=old|L2_education=high|L3_hours-per-week=low_hours,1.0,0.6363636363636364,0.7777777777777778,0.8181818181818181,0.953475935828877,0.7626419070552523,0.7354758961681087,0.10514018691588785,0.1588785046728972,0.1308411214953271,107,0.5,0.2
