model,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,BAC_mean,BAC_std,AUC_mean,AUC_std,MCC_mean,MCC_std,Kappa_mean,Kappa_std,BND_ratio_mean,BND_ratio_std,POS_Coverage_mean,POS_Coverage_std,Regret_mean,Regret_std
BTTWD,0.5689357590008954,0.021414614765746118,0.7929697269516703,0.03098541780519245,0.6623244794578254,0.022103286245148,0.8414083642145916,0.016335248725140222,0.9274851495723173,0.006222571487285775,0.6004502071932812,0.027440550300868397,0.5880929291384099,0.02716773204269896,0.07372262773722628,0.012808754855616004,0.18248175182481755,0.01145893848414014,0.22631792376317925,0.01701073816147777
LogReg,0.7208616729851072,0.0314374256895559,0.4522831897321735,0.029922915444501832,0.5553330001778864,0.02794884452100113,0.7100694084693309,0.01518894527312411,0.8932815596668927,0.010576113976025706,0.5130609332091108,0.029619913074566885,0.49519226691822543,0.030444383990211286,0.0,0.0,,,0.36618004866180043,0.018832668643892943
RandomForest,0.6778312913131158,0.017713444463779277,0.6650781217792802,0.02810515339808942,0.67106067322465,0.018496823676860306,0.8035615135609004,0.01350559728514888,0.925705250324736,0.006355080775175193,0.6118174839206968,0.02094660488038428,0.6115692344601775,0.021102145150337957,0.0,0.0,,,0.2562854825628548,0.016521937378315782
KNN,0.6232715418132962,0.023830371355989415,0.4528094982891536,0.027445939586999427,0.5242996909523197,0.0249162345916532,0.7013613673432999,0.014094484498244488,0.8078942100960887,0.012765606785781486,0.4609967848038538,0.026879442635257385,0.45317383204147427,0.02745087815963816,0.0,0.0,,,0.381021897810219,0.01749006474019467
XGBoost,0.6764677102135171,0.0194169727574753,0.6760934987838562,0.01957433636880829,0.6761048774859421,0.016387423504197352,0.808397463062834,0.010278148546946756,0.930427927988978,0.005063369714789874,0.6169332686064186,0.019353425747764653,0.616822205720617,0.019441010999189177,0.0,0.0,,,0.25060827250608275,0.013115135140953966
