dataset,metric,gain
Bank,F1,0.004388714733542409
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,-0.02298850574712641
Bank,F1,0.0
Bank,F1,-0.06818181818181823
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,1.1102230246251565e-16
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.19999999999999996
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.04357582036557883
Bank,F1,0.019774011299435124
Bank,F1,0.01417497231450715
Bank,F1,0.008700542543337186
Bank,F1,0.0974967061923584
Bank,F1,0.029353523587652863
Bank,F1,-0.0035334046213214565
Bank,F1,0.05065666041275796
Bank,F1,-0.019047619047619035
Bank,F1,0.20000000000000007
Bank,F1,0.0673015873015873
Bank,F1,-0.08613264427217915
Bank,F1,0.2787878787878788
Bank,F1,0.35
Bank,F1,-0.1111111111111111
Bank,F1,-0.06439393939393934
Bank,F1,0.1923076923076924
Bank,F1,-0.016975308641975495
Bank,F1,0.10123119015047888
Bank,F1,0.03837719298245612
Bank,F1,0.12705882352941178
Bank,F1,0.11183597390493943
Bank,F1,-0.1071428571428572
Bank,F1,0.09230769230769242
Bank,F1,0.028011204481792784
Bank,F1,-0.08333333333333331
Bank,F1,0.0
Bank,F1,-0.06666666666666671
Bank,F1,-0.2666666666666666
Bank,F1,-0.1428571428571429
Bank,F1,0.005555555555555536
Bank,F1,-0.09523809523809512
Bank,F1,0.09393939393939388
Bank,F1,0.5
Bank,F1,0.009615384615384581
Bank,F1,0.6666666666666666
Bank,F1,-0.0292397660818714
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.19047619047619047
Bank,F1,0.0
Bank,F1,0.22857142857142854
Bank,F1,0.2666666666666666
Bank,F1,0.0
Bank,F1,0.1428571428571429
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.1454545454545454
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,-0.33333333333333337
Bank,F1,1.0
Bank,F1,0.6666666666666666
Bank,F1,0.17142857142857149
Bank,F1,-0.003484457357112891
Bank,F1,0.010619469026548756
Bank,F1,-0.01758626729724999
Bank,F1,0.021756469337114503
Bank,F1,-0.007978723404255372
Bank,F1,0.032412965186074616
Bank,F1,-0.030769230769230882
Bank,F1,0.02214156079854801
Bank,F1,0.07327586206896564
Bank,F1,0.0652173913043479
Bank,F1,-0.048138639281129714
Bank,F1,-0.010284331518451317
Bank,F1,0.07017543859649134
Bank,F1,0.0
Bank,F1,-0.045454545454545525
Bank,F1,-0.013876040703052706
Bank,F1,-0.02857142857142847
Bank,F1,-0.01118881118881132
Bank,F1,-0.030501089324618702
Bank,F1,0.008258258258258211
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.19047619047619047
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,-0.13333333333333341
Bank,F1,-0.0236773954864965
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,-0.10256410256410242
Bank,F1,0.0
Bank,F1,0.09523809523809523
Bank,F1,0.16666666666666669
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.33333333333333337
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,-0.0439560439560438
Bank,F1,0.0
Bank,F1,-0.33333333333333337
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,-0.33333333333333337
Bank,F1,-0.16666666666666663
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.02635832004253058
Bank,F1,0.00958493795464277
Bank,F1,0.050440917107583694
Bank,F1,-0.004576659038901587
Bank,F1,0.043336287726827516
Bank,F1,0.06290726817042602
Bank,F1,0.05383759733036708
Bank,F1,0.06060606060606061
Bank,F1,-0.07826086956521738
Bank,F1,0.10606060606060597
Bank,F1,0.08457446808510638
Bank,F1,0.22719141323792502
Bank,F1,-0.16666666666666663
Bank,F1,-0.19607843137254904
Bank,F1,0.054105363075462876
Bank,F1,0.10769230769230759
Bank,F1,0.2787878787878789
Bank,F1,0.016141270607711866
Bank,F1,0.119106699751861
Bank,F1,-0.014285714285714235
Bank,F1,-0.06666666666666671
Bank,F1,-0.09411764705882364
Bank,F1,-0.18461538461538474
Bank,F1,0.16289592760181
Bank,F1,-0.13333333333333341
Bank,F1,0.0
Bank,F1,0.07499999999999996
Bank,F1,0.0
Bank,F1,0.022556390977443552
Bank,F1,0.033333333333333104
Bank,F1,0.08482676224611707
Bank,F1,0.16666666666666674
Bank,F1,0.0
Bank,F1,1.0
Bank,F1,0.0
Bank,F1,-0.33333333333333337
Bank,F1,0.022727272727272818
Bank,F1,-0.5
Bank,F1,0.0
Bank,F1,-0.0071428571428570065
Bank,F1,0.0
Bank,F1,1.0
Bank,F1,-0.030769230769230882
Bank,F1,0.0
Bank,F1,-0.11428571428571432
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.19999999999999996
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,-0.13333333333333341
Bank,F1,0.0
Bank,F1,0.0004717351993079877
Bank,F1,-0.009216589861751001
Bank,F1,-0.0007217610970768895
Bank,F1,0.00924764890282126
Bank,F1,0.056650246305418706
Bank,F1,0.008859357696567094
Bank,F1,-0.004273146208630063
Bank,F1,-0.03418803418803423
Bank,F1,0.05128205128205132
Bank,F1,0.0
Bank,F1,0.029027576197387606
Bank,F1,0.02060178910273791
Bank,F1,-0.055555555555555525
Bank,F1,0.0
Bank,F1,0.2857142857142857
Bank,F1,-0.01851851851851849
Bank,F1,-0.014260249554367221
Bank,F1,-0.05123339658444026
Bank,F1,0.024407140953903617
Bank,F1,0.0736842105263158
Bank,F1,0.01666666666666683
Bank,F1,0.015503875968992276
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.17254901960784308
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,-0.010928961748633781
Bank,F1,0.0
Bank,F1,0.13333333333333364
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,-0.019704433497536922
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.6666666666666666
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,-0.04999999999999993
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Bank,F1,0.0
Credit,F1,0.18052995391705068
Credit,F1,0.1304347826086956
Credit,F1,0.1061795159269274
Credit,F1,0.03677196303756847
Credit,F1,0.0563569981522295
Credit,F1,0.03003556321634121
Credit,F1,-0.0025393184796854706
Credit,F1,0.12460317460317469
Credit,F1,0.0914325195762321
Credit,F1,0.1564625850340135
Credit,F1,-0.00019493177387908123
Credit,F1,0.08664434207618688
Credit,F1,0.11283154121863792
Credit,F1,0.0037795275590551958
Credit,F1,0.1846903887552235
Credit,F1,0.066432101868141
Credit,F1,0.1454714086968929
Credit,F1,0.007471071150458752
Credit,F1,0.08677184802051208
Credit,F1,0.15390156062424964
Credit,F1,0.00216847372810669
Credit,F1,0.1822952094062773
Credit,F1,0.0907725907725908
Credit,F1,0.1908889254025633
Credit,F1,0.03460930398522699
Credit,F1,0.043137813211845066
Credit,F1,0.12421852176453407
Credit,F1,0.0046140536383735276
Credit,F1,0.0568710787290022
Credit,F1,0.0909090909090909
Credit,F1,0.14055282090117388
Credit,F1,0.0010911074740861393
Credit,F1,0.048886005838177704
Credit,F1,0.07551299589603289
Credit,F1,0.004224270353302639
Diabetic,F1,0.0100125156445556
Diabetic,F1,0.11771220905079179
Diabetic,F1,0.14245119841858173
Diabetic,F1,0.2508975101331789
Diabetic,F1,0.19061942959001782
Diabetic,F1,0.2519947848761408
Diabetic,F1,0.0
Diabetic,F1,0.1429035099921176
Diabetic,F1,0.30095238095238086
Diabetic,F1,0.0
Diabetic,F1,0.0
Diabetic,F1,0.233529028049576
Diabetic,F1,0.2222222222222222
Diabetic,F1,0.1764705882352941
Diabetic,F1,0.017605177993527454
Diabetic,F1,0.20288692862870894
Diabetic,F1,0.38095238095238104
Diabetic,F1,0.0104712041884816
Diabetic,F1,0.1259063225058004
Diabetic,F1,0.2772973165349847
Diabetic,F1,0.233983583839676
Diabetic,F1,0.271534268375236
Diabetic,F1,0.30374698247209897
Diabetic,F1,0.0
Diabetic,F1,0.25413223140495866
Diabetic,F1,0.10886806056236481
Diabetic,F1,0.0
Diabetic,F1,0.1666666666666666
Diabetic,F1,0.380952380952381
Diabetic,F1,0.056818181818181795
Diabetic,F1,0.0833333333333333
Diabetic,F1,0.1088861076345432
Diabetic,F1,0.29457364341085285
Diabetic,F1,0.0
Diabetic,F1,0.0
Diabetic,F1,0.0097087378640776
Diabetic,F1,0.1351514931425597
Diabetic,F1,0.143798049340218
Diabetic,F1,0.2546419098143236
Diabetic,F1,0.2901920261775597
Diabetic,F1,0.35149494739035314
Diabetic,F1,0.0
Diabetic,F1,0.21563424839269313
Diabetic,F1,0.1166666666666667
Diabetic,F1,0.0
Diabetic,F1,0.125
Diabetic,F1,0.3243243243243243
Diabetic,F1,0.25
Diabetic,F1,0.3571428571428571
Diabetic,F1,0.06787434074753501
Diabetic,F1,0.04870129870129858
Diabetic,F1,0.392156862745098
Diabetic,F1,0.0048780487804878
Diabetic,F1,0.16684765731600598
Diabetic,F1,0.2240783410138249
Diabetic,F1,0.2163742690058479
Diabetic,F1,0.3011332679524899
Diabetic,F1,0.10734463276836159
Diabetic,F1,0.0
Diabetic,F1,0.1574810837197949
Diabetic,F1,0.1258581235697942
Diabetic,F1,0.0
Diabetic,F1,0.0
Diabetic,F1,0.3018867924528302
Diabetic,F1,0.3333333333333333
Diabetic,F1,0.3076923076923076
Diabetic,F1,0.05242463958060284
Diabetic,F1,0.1400560224089636
Diabetic,F1,0.4
Diabetic,F1,0.0
Diabetic,F1,0.0025412960609911
Diabetic,F1,0.1156400287345292
Diabetic,F1,0.1302197208389795
Diabetic,F1,0.2162162162162162
Diabetic,F1,0.2798162400811408
Diabetic,F1,0.18632050325194582
Diabetic,F1,0.0
Diabetic,F1,0.15476190476190477
Diabetic,F1,0.1555127587867116
Diabetic,F1,0.0769230769230769
Diabetic,F1,0.1333333333333333
Diabetic,F1,0.2666666666666666
Diabetic,F1,0.074074074074074
Diabetic,F1,0.2222222222222222
Diabetic,F1,0.06203007518796999
Diabetic,F1,0.07394957983193273
Diabetic,F1,0.2173913043478261
Diabetic,F1,0.0
Hospital,F1,-0.0040873350012107235
Hospital,F1,-0.0010814227232136542
Hospital,F1,-0.0019782729880760686
Hospital,F1,-0.00014742739200934718
Hospital,F1,0.014393939393939292
Hospital,F1,0.0
Hospital,F1,0.0005913951998421929
Hospital,F1,0.03535148313693626
Hospital,F1,0.015447154471544877
Hospital,F1,0.012284248172912404
Hospital,F1,-0.007289388732687696
Hospital,F1,-0.03608247422680411
Hospital,F1,0.0
Hospital,F1,0.009227614490772473
Hospital,F1,-0.0009496676163341933
Hospital,F1,0.006321112515802807
Hospital,F1,0.02763157894736845
Hospital,F1,0.0076030412164865835
Hospital,F1,0.028345418589321048
Hospital,F1,0.00907441016333932
Hospital,F1,0.03294189415891424
Hospital,F1,-0.006871035940803405
Hospital,F1,0.022580645161290325
Hospital,F1,0.02043010752688179
Hospital,F1,0.01295097132284928
Hospital,F1,-0.0032115616218385545
Hospital,F1,0.0
Hospital,F1,0.0
Hospital,F1,0.0
Hospital,F1,0.012121212121212088
Hospital,F1,0.007287579472100791
Hospital,F1,-0.006042108907373112
Hospital,F1,0.0034902533120636514
Hospital,F1,0.03613437001594899
Hospital,F1,-0.002995169082125493
Hospital,F1,0.011546828805712006
Hospital,F1,-0.004016064257028273
Hospital,F1,0.012168141592920345
Hospital,F1,-0.02362869198312234
Hospital,F1,0.0062678062678062085
Hospital,F1,0.013608788325955024
Hospital,F1,-0.015572858731924377
Hospital,F1,0.005261899067208753
Hospital,F1,-0.010073260073260037
Hospital,F1,0.017692452475061127
Hospital,F1,0.04769921436588109
Hospital,F1,0.0
Hospital,F1,0.045454545454545636
Hospital,F1,-0.0010680500457735942
Hospital,F1,0.0178843226788431
Hospital,F1,-0.019460138104205882
Hospital,F1,-0.007850380974370741
Hospital,F1,-0.012099213551119203
Hospital,F1,0.017224880382775032
Hospital,F1,-0.016156462585034004
Hospital,F1,0.011627906976744207
Hospital,F1,-0.015503875968992276
Hospital,F1,0.01778656126482203
Hospital,F1,0.0
Hospital,F1,0.0
Hospital,F1,0.0010100208299689273
Hospital,F1,0.002918616718822653
Hospital,F1,-0.008956909476799502
Hospital,F1,0.0007327902064743208
Hospital,F1,-0.010783608914450071
Hospital,F1,0.0160206718346253
Hospital,F1,-0.001686909581646412
Hospital,F1,-0.00804769001490313
Hospital,F1,0.026634863844166135
Hospital,F1,-0.0031487798478089246
Hospital,F1,0.019629907476869213
Hospital,F1,-0.005380288579114767
Hospital,F1,-0.009166666666666656
Hospital,F1,0.009957325746799417
Hospital,F1,0.061114021302601684
Hospital,F1,0.0
Hospital,F1,-0.02182163187855779
Hospital,F1,-0.033333333333333326
Hospital,F1,-0.006576543660942735
Hospital,F1,-0.02564102564102566
Hospital,F1,0.00906391623691194
Hospital,F1,-0.009109730848861242
Hospital,F1,0.022846557579499827
Hospital,F1,-0.011904761904761862
Hospital,F1,0.02857142857142858
Hospital,F1,0.06959247648902822
Hospital,F1,0.03874092009685215
Hospital,F1,0.04519774011299438
Hospital,F1,0.0
Hospital,F1,0.03556187766714092
Hospital,F1,0.0
Hospital,F1,0.002528333906585023
Hospital,F1,-0.0010427248081049667
Hospital,F1,0.0001462621251302476
Hospital,F1,-0.01904761904761909
Hospital,F1,0.008014961261020526
Hospital,F1,-0.004830917874396157
Hospital,F1,-0.03882063882063902
Hospital,F1,0.0026229508196721207
Hospital,F1,0.004875886524822515
Hospital,F1,0.025423728813559365
Hospital,F1,0.0017543859649123972
Hospital,F1,0.013675213675213516
Hospital,F1,0.02515723270440262
Hospital,F1,-0.04036157241959226
Hospital,F1,-0.012820512820512775
Hospital,F1,0.0010695187165775666
Hospital,F1,-0.017380660954712357
Hospital,F1,-0.023809523809523836
Hospital,F1,-0.0025974025974027093
Hospital,F1,0.02898550724637694
Hospital,F1,0.08571428571428585
Hospital,F1,-0.015239802779022926
Hospital,F1,0.02406554019457252
Hospital,F1,-0.010654490106544956
Hospital,F1,-0.01224489795918371
Hospital,F1,-0.032345013477088846
Hospital,F1,-0.003831417624520994
Hospital,F1,0.016666666666666607
Hospital,F1,-0.017718715393134077
Hospital,F1,0.0
Hospital,F1,0.0017151295534607591
Hospital,F1,-0.011187855551740511
Hospital,F1,-0.0038864496044105357
Hospital,F1,0.0019723865877713243
Hospital,F1,0.002040105488381405
Hospital,F1,-0.01406025824964141
Hospital,F1,-0.016964285714285654
Hospital,F1,-0.030702702702702478
Hospital,F1,-0.0321083172147002
Hospital,F1,0.023855577047066423
Hospital,F1,-0.011857707509881354
Hospital,F1,0.006623299822590245
Hospital,F1,0.015124698310538975
Hospital,F1,-0.0035161744022502717
Hospital,F1,0.006761325219743042
Hospital,F1,0.003922667413841396
Hospital,F1,-0.01700921332388383
Hospital,F1,0.012590299277605799
Hospital,F1,-0.039705882352941146
Hospital,F1,-0.019999999999999907
Hospital,F1,0.005087881591119503
Hospital,F1,0.0
Hospital,F1,-0.008950617283950746
Hospital,F1,0.0
Hospital,F1,0.0
Hospital,F1,-0.013333333333333308
Hospital,F1,-0.020817069997397852
Hospital,F1,-0.010284331518451317
Hospital,F1,0.0
Hospital,F1,-0.027370478983382296
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Shopper,F1,0.0
Telco,F1,0.0
Telco,F1,0.02009702009701997
Telco,F1,-0.016873753643196876
Telco,F1,-0.0013468013468014295
Telco,F1,0.0
Telco,F1,0.037151702786377694
Telco,F1,-0.04848484848484849
