dataset,metric,n_buckets,better_ratio,non_worse_ratio,mean_gain,median_gain,min_gain,max_gain
Adult,Regret,184,0.24456521739130435,0.7119565217391305,-0.0038508641235747445,0.0,-0.0869565217391304,0.04787234042553187
Bank,Regret,297,0.31313131313131315,0.6666666666666666,-0.0009928248859910373,0.0,-0.24999999999999994,0.1666666666666667
Credit,Regret,35,0.2571428571428571,0.6571428571428571,-0.003416103163110416,0.0,-0.03558612440191389,0.009202453987730008
Diabetic,Regret,88,0.3522727272727273,0.8068181818181818,0.011887108591874184,0.0,-0.24626865671641807,0.12962962962962965
Hospital,Regret,151,0.36423841059602646,0.7218543046357616,-0.001720266288048762,0.0,-0.15753424657534248,0.06976744186046513
Shopper,Regret,105,0.2,0.6476190476190476,-0.009192403372138197,0.0,-0.2906976744186047,0.19999999999999998
Telco,Regret,119,0.3277310924369748,0.865546218487395,0.003272319275247493,0.0,-0.4545454545454545,0.2142857142857143
WeatherAUS,Regret,675,0.2074074074074074,0.677037037037037,-0.00563357905302775,0.0,-0.16935483870967744,0.07647058823529412
