dataset,metric,n_buckets,better_ratio,non_worse_ratio,mean_gain,median_gain,min_gain,max_gain
Adult,BND_ratio,184,0.2826086956521739,0.7336956521739131,-0.0022223786775062253,0.0,-0.4444444444444444,0.19375
Bank,BND_ratio,297,0.48484848484848486,0.8417508417508418,0.028506813111542174,0.0,-0.1666666666666667,0.6666666666666666
Credit,BND_ratio,35,0.4,0.7714285714285715,0.039537346225847064,0.0,-0.11513157894736847,0.3481989708404803
Diabetic,BND_ratio,88,0.18181818181818182,0.6363636363636364,-0.11550750253909792,0.0,-0.832820512820513,0.5761904761904761
Hospital,BND_ratio,151,0.5099337748344371,0.8145695364238411,0.015349109380302439,0.0013149243918474107,-0.7945205479452054,0.3220338983050848
Shopper,BND_ratio,105,0.2,0.7047619047619048,0.003247343030820683,0.0,-0.136986301369863,0.1917808219178082
Telco,BND_ratio,119,0.20168067226890757,0.7478991596638656,-0.011034571735166383,0.0,-0.326530612244898,0.2857142857142857
WeatherAUS,BND_ratio,675,0.3674074074074074,0.8281481481481482,0.01690321042049545,0.0,-0.31226765799256506,0.2520325203252033
