dataset,metric,gain
Bank,BAC,-0.012096774193548376
Bank,BAC,-0.003373015873015861
Bank,BAC,0.03333333333333344
Bank,BAC,0.0
Bank,BAC,-0.006578947368421129
Bank,BAC,0.22580645161290314
Bank,BAC,-0.007575757575757569
Bank,BAC,-0.010869565217391353
Bank,BAC,-0.008333333333333193
Bank,BAC,0.0
Bank,BAC,0.07333333333333347
Bank,BAC,0.0
Bank,BAC,0.0
Bank,BAC,-0.002027027027027062
Bank,BAC,0.0
Bank,BAC,0.0
Bank,BAC,-0.013513513513513487
Bank,BAC,-0.02564102564102555
Bank,BAC,-0.04347826086956519
Bank,BAC,0.0
Bank,BAC,0.0
Bank,BAC,0.0
Bank,BAC,0.0
Bank,BAC,0.0
Bank,BAC,0.028571428571428692
Bank,BAC,0.0
Bank,BAC,0.0
Bank,BAC,0.0
Bank,BAC,0.0
Bank,BAC,0.0
Bank,BAC,0.0
Bank,BAC,0.0
Bank,BAC,0.16666666666666674
Bank,BAC,0.0
Bank,BAC,0.0
Bank,BAC,0.0
Bank,BAC,0.0
Bank,BAC,0.0
Bank,BAC,0.0
Bank,BAC,0.0
Bank,BAC,0.0
Bank,BAC,0.06143764079459346
Bank,BAC,0.03673642448287351
Bank,BAC,0.07008830022075052
Bank,BAC,0.02718489517554934
Bank,BAC,0.12339898826821649
Bank,BAC,0.05873821609862229
Bank,BAC,0.023731459797033505
Bank,BAC,0.07528735632183903
Bank,BAC,0.06277805239742962
Bank,BAC,0.18573321554770317
Bank,BAC,0.06798245614035081
Bank,BAC,0.0010779734099892746
Bank,BAC,0.15729166666666672
Bank,BAC,0.24705882352941178
Bank,BAC,-0.010135135135135087
Bank,BAC,-0.01298701298701288
Bank,BAC,0.16304347826086962
Bank,BAC,-0.014985014985015033
Bank,BAC,0.08251748251748248
Bank,BAC,0.010856079404466534
Bank,BAC,0.0997474747474748
Bank,BAC,0.11007025761124134
Bank,BAC,-0.006329113924050445
Bank,BAC,0.04735883424408005
Bank,BAC,0.031362007168458716
Bank,BAC,-0.017857142857142794
Bank,BAC,0.0
Bank,BAC,-0.0078125
Bank,BAC,-0.018867924528301994
Bank,BAC,0.017857142857142794
Bank,BAC,0.0021645021645021467
Bank,BAC,-0.010869565217391242
Bank,BAC,0.0926470588235293
Bank,BAC,0.2410714285714286
Bank,BAC,0.07499999999999996
Bank,BAC,0.25
