Metric,Mean,Std
Precision,0.6075163879798682,0.007700142348513587
Recall,0.5051908015602233,0.014591291543811901
F1,0.5515894998574087,0.011398084893186793
BAC,0.607835014162164,0.007333494068437263
AUC,0.6494731992333349,0.006653629772916789
MCC,0.22059399503674512,0.014453389974860282
Kappa,0.21772663316547414,0.014669433713898434
BND_ratio,0.0,0.0
POS_Coverage,0.39092,0.008092070192478575
Regret,0.7720800000000001,0.013970025053664013
