fold,model,Precision,Recall,F1,BAC,AUC,MCC,Kappa,BND_ratio,POS_Coverage,Regret
1,BTTWD,0.24747923507823064,0.616514820993199,0.35318441195659167,0.6351907390913824,0.6847432639495351,0.20123507734396878,0.1681555061354164,0.19403,0.071085,0.67939
2,BTTWD,0.2455555414158639,0.6190170665982292,0.35162592366495676,0.6339304301408707,0.6865858169505004,0.19893524332838552,0.1653425509636144,0.200055,0.06795,0.6804275
3,BTTWD,0.243598808141003,0.6189529064545105,0.349604986591288,0.6320473537887734,0.6832537371965003,0.1958684269491134,0.1622020317865338,0.19804,0.06876,0.6835575
4,BTTWD,0.24528134242158842,0.6199153086102913,0.35148924560047295,0.6338642337824836,0.6851892176688734,0.1987472374993638,0.16499177141412225,0.20028,0.072015,0.6796025
5,BTTWD,0.24328630239997961,0.6123444116514821,0.348222674243599,0.6303394055793364,0.6817934722885746,0.19365446574662729,0.16106792087427735,0.20403,0.073815,0.6812825
1,XGBoost,0.2777039091288987,0.4690106505838573,0.34885108210646876,0.621887750008208,0.6855320794698878,0.20078486505909374,0.1903237487449425,0.0,,0.60393
2,XGBoost,0.2778549279966519,0.46856152957782626,0.3488458185552729,0.6218556931183372,0.6861598532309237,0.2008290084160575,0.1904273014528427,0.0,,0.603955
3,XGBoost,0.2763205106415123,0.46939561144616965,0.3478632986627043,0.6212065601950918,0.6842004786838939,0.19929083390533095,0.18866867156480893,0.0,,0.605105
4,XGBoost,0.2779539972269179,0.4694597715898884,0.34917264170076706,0.6221448880457556,0.6859391547141929,0.2012047623697576,0.19071941922694224,0.0,,0.603525
5,XGBoost,0.27548497527577026,0.4646798408828436,0.3459021874104499,0.6195179951683628,0.6821611550637561,0.1969606063210146,0.18674930630971742,0.0,,0.60765
