bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,parent_with_threshold,n_test,pos_rate_test,BND_ratio_test,POS_Coverage_test,regret_test,fold,pos_rate
L1_age=old|L2_education=top|L3_hours-per-week=high_hours,L3,L1_age=old|L2_education=top,319,138,0.7931034482758621,0.8333333333333334,0.4,0.3,0.07427536231884058,0.9460580912863071,0.9047619047619048,0.991304347826087,0.021739130434782608,0.9130434782608695,False,138,457,0.8052516411378556,,109.0,0.7981651376146789,0.0,0.8623853211009175,0.08944954128440367,1,0.8052516411378556
L1_age=very_old|L2_education=high|L3_hours-per-week=high_hours,L3,L1_age=very_old|L2_education=high,306,136,0.5490196078431373,0.5441176470588235,0.55,0.15,0.2665441176470588,0.7631578947368421,0.7435897435897436,0.7837837837837838,0.3014705882352941,0.5735294117647058,False,136,442,0.5475113122171946,,101.0,0.5841584158415841,0.0,0.49504950495049505,0.2004950495049505,1,0.5475113122171946
L1_age=old|L2_education=high|L3_hours-per-week=low_hours,L3,L1_age=old|L2_education=high,303,135,0.21782178217821782,0.25925925925925924,0.35,0.2,0.11666666666666667,0.75,0.7297297297297297,0.7714285714285715,0.1259259259259259,0.2740740740740741,False,135,438,0.23059360730593606,,111.0,0.17117117117117117,0.0,0.21621621621621623,0.12612612612612611,1,0.23059360730593606
L1_age=very_old|L2_education=high|L3_hours-per-week=low_hours,L3,L1_age=very_old|L2_education=high,307,131,0.21498371335504887,0.21374045801526717,0.45,0.3,0.16603053435114504,0.6521739130434783,0.8333333333333334,0.5357142857142857,0.030534351145038167,0.13740458015267176,False,131,438,0.2146118721461187,,108.0,0.25925925925925924,0.0,0.1388888888888889,0.26157407407407407,1,0.2146118721461187
L1_age=mid|L2_education=top,L2,L1_age=mid,94,124,0.4148936170212766,0.3387096774193548,0.6,0.45,0.1774193548387097,0.7640449438202246,0.723404255319149,0.8095238095238095,0.10483870967741936,0.3790322580645161,False,124,435,0.43908045977011495,,,,,,,1,0.43908045977011495
L1_age=old|L2_education=mid|L3_hours-per-week=low_hours,L3,L1_age=old|L2_education=mid,315,114,0.08888888888888889,0.05263157894736842,0.4,0.35,0.03070175438596491,0.8,1.0,0.6666666666666666,0.017543859649122806,0.03508771929824561,False,114,429,0.07925407925407925,,108.0,0.06481481481481481,0.0,0.027777777777777776,0.09953703703703703,1,0.07925407925407925
L1_age=mid|L2_education=high|L3_hours-per-week=low_hours,L3,L1_age=mid|L2_education=high,304,122,0.13486842105263158,0.06557377049180328,0.55,0.5,0.03278688524590164,0.7999999999999999,0.8571428571428571,0.75,0.00819672131147541,0.05737704918032787,False,122,426,0.11502347417840375,,108.0,0.14814814814814814,0.0,0.08333333333333333,0.09722222222222222,1,0.11502347417840375
L1_age=very_old|L2_education=low,L2,L1_age=very_old,169,131,0.07100591715976332,0.08396946564885496,0.35,0.2,0.09732824427480916,0.39999999999999997,0.75,0.2727272727272727,0.0,0.030534351145038167,False,131,412,0.07766990291262135,,,,,,,1,0.07766990291262135
L1_age=mid|L2_education=mid|L3_hours-per-week=low_hours,L3,L1_age=mid|L2_education=mid,255,119,0.047058823529411764,0.03361344537815126,0.5,0.45,0.012605042016806723,0.8571428571428571,1.0,0.75,0.0,0.025210084033613446,False,119,374,0.0427807486631016,,96.0,0.010416666666666666,0.0,0.0,0.015625,1,0.0427807486631016
L1_age=very_old|L2_education=mid|L3_hours-per-week=high_hours,L3,L1_age=very_old|L2_education=mid,249,111,0.40160642570281124,0.35135135135135137,0.45,0.35,0.2635135135135135,0.6428571428571429,0.6,0.6923076923076923,0.17117117117117117,0.40540540540540543,False,111,360,0.3861111111111111,,91.0,0.2857142857142857,0.0,0.2967032967032967,0.21153846153846154,1,0.3861111111111111
L1_age=old|L2_education=low,L2,L1_age=old,95,71,0.06315789473684211,0.08450704225352113,0.4,0.35,0.11619718309859155,0.25,0.5,0.16666666666666666,0.0,0.028169014084507043,False,71,270,0.05555555555555555,,,,,,,1,0.05555555555555555
L1_age=very_old|L2_education=top|L3_hours-per-week=normal_hours,L3,L1_age=very_old|L2_education=top,176,81,0.6931818181818182,0.6172839506172839,0.65,0.4,0.13580246913580246,0.8785046728971964,0.8245614035087719,0.94,0.09876543209876543,0.7037037037037037,False,81,257,0.669260700389105,,66.0,0.6363636363636364,0.0,0.5909090909090909,0.16287878787878787,1,0.669260700389105
L1_age=young|L2_education=high|L3_hours-per-week=high_hours,L3,L1_age=young|L2_education=high,171,63,0.08771929824561403,0.06349206349206349,0.65,0.15,0.023809523809523808,0.8571428571428571,1.0,0.75,0.06349206349206349,0.047619047619047616,False,63,234,0.0811965811965812,,57.0,0.07017543859649122,0.0,0.03508771929824561,0.07017543859649122,1,0.0811965811965812
L1_age=very_old|L2_education=top|L3_hours-per-week=high_hours,L3,L1_age=very_old|L2_education=top,153,68,0.7450980392156863,0.7352941176470589,0.7,0.25,0.17279411764705882,0.88,0.88,0.88,0.19117647058823528,0.7352941176470589,False,68,221,0.7420814479638009,,57.0,0.8421052631578947,0.0,0.7368421052631579,0.17982456140350878,1,0.7420814479638009
L1_age=young|L2_education=mid|L3_hours-per-week=high_hours,L3,L1_age=young|L2_education=mid,155,66,0.06451612903225806,0.045454545454545456,0.45,0.4,0.022727272727272728,0.8,1.0,0.6666666666666666,0.0,0.030303030303030304,False,66,221,0.058823529411764705,,46.0,0.021739130434782608,0.0,0.0,0.03260869565217391,1,0.058823529411764705
L1_age=very_old|L2_education=low|L3_hours-per-week=normal_hours,L3,L1_age=very_old|L2_education=low,139,66,0.06474820143884892,0.12121212121212122,0.35,0.15,0.14015151515151514,0.36363636363636365,0.6666666666666666,0.25,0.09090909090909091,0.045454545454545456,False,66,205,0.08292682926829269,,56.0,0.03571428571428571,0.0,0.0,0.06696428571428571,1,0.08292682926829269
L1_age=mid|L2_education=top|L3_hours-per-week=normal_hours,L3,L1_age=mid|L2_education=top,147,53,0.46258503401360546,0.32075471698113206,0.6,0.45,0.12264150943396226,0.8108108108108107,0.75,0.8823529411764706,0.1320754716981132,0.37735849056603776,False,53,200,0.425,,59.0,0.5423728813559322,0.0,0.423728813559322,0.2627118644067797,1,0.425
L1_age=mid|L2_education=top|L3_hours-per-week=high_hours,L3,L1_age=mid|L2_education=top,123,52,0.5853658536585366,0.4423076923076923,0.65,0.25,0.2644230769230769,0.723404255319149,0.7083333333333334,0.7391304347826086,0.2692307692307692,0.46153846153846156,False,52,175,0.5428571428571428,,47.0,0.5319148936170213,0.0,0.48936170212765956,0.2393617021276596,1,0.5428571428571428
L1_age=old|L2_education=low|L3_hours-per-week=normal_hours,L3,L1_age=old|L2_education=low,129,45,0.031007751937984496,0.08888888888888889,0.35,0.2,0.11666666666666667,0.3333333333333333,0.5,0.25,0.0,0.044444444444444446,False,45,174,0.04597701149425287,,38.0,0.0,0.0,0.0,0.0,1,0.04597701149425287
L1_age=mid|L2_education=low,L2,L1_age=mid,116,50,0.02586206896551724,0.0,0.45,0.2,,,,,,,True,0,166,0.018072289156626505,L1_age=mid,,,,,,1,0.018072289156626505
L1_age=very_old|L2_education=low|L3_hours-per-week=low_hours,L3,L1_age=very_old|L2_education=low,94,44,0.031914893617021274,0.022727272727272728,0.35,0.05,0.028409090909090908,0.0,0.0,0.0,0.06818181818181818,0.0,False,44,138,0.028985507246376812,,32.0,0.0,0.0,0.0,0.0,1,0.028985507246376812
L1_age=young|L2_education=low,L2,L1_age=young,74,45,0.04054054054054054,0.0,0.45,0.4,,,,,,,True,0,119,0.025210084033613446,L1_age=young,,,,,,1,0.025210084033613446
L1_age=very_old|L2_education=top|L3_hours-per-week=low_hours,L3,L1_age=very_old|L2_education=top,83,29,0.4819277108433735,0.4482758620689655,0.65,0.05,0.3275862068965517,0.5555555555555556,1.0,0.38461538461538464,0.7586206896551724,0.1724137931034483,False,29,112,0.4732142857142857,,41.0,0.5121951219512195,0.0,0.2926829268292683,0.29878048780487804,1,0.4732142857142857
L1_age=mid|L2_education=low|L3_hours-per-week=normal_hours,L3,L1_age=mid|L2_education=low,79,28,0.0379746835443038,0.0,0.45,0.2,,,,,,,True,0,107,0.028037383177570093,L1_age=mid,33.0,0.0,0.0,0.0,0.0,1,0.028037383177570093
L1_age=old|L2_education=top|L3_hours-per-week=low_hours,L3,L1_age=old|L2_education=top,68,35,0.45588235294117646,0.6285714285714286,0.35,0.2,0.09285714285714286,0.9130434782608695,0.875,0.9545454545454546,0.05714285714285714,0.6857142857142857,False,35,103,0.5145631067961165,,23.0,0.391304347826087,0.0,0.5217391304347826,0.13043478260869565,1,0.5145631067961165
L1_age=old|L2_education=low|L3_hours-per-week=others,L3,L1_age=old|L2_education=low,70,26,0.07142857142857142,0.07692307692307693,0.4,0.35,,,,,,,True,0,96,0.07291666666666667,L1_age=old|L2_education=low,,,,,,1,0.07291666666666667
L1_age=very_old|L2_education=low|L3_hours-per-week=others,L3,L1_age=very_old|L2_education=low,48,21,0.1875,0.09523809523809523,0.35,0.2,,,,,,,True,0,69,0.15942028985507245,L1_age=very_old|L2_education=low,,,,,,1,0.15942028985507245
L1_age=mid|L2_education=top|L3_hours-per-week=others,L3,L1_age=mid|L2_education=top,41,19,0.21951219512195122,0.10526315789473684,0.6,0.45,,,,,,,True,0,60,0.18333333333333332,L1_age=mid|L2_education=top,,,,,,1,0.18333333333333332
L1_age=mid|L2_education=low|L3_hours-per-week=others,L3,L1_age=mid|L2_education=low,37,22,0.0,0.0,0.45,0.2,,,,,,,True,0,59,0.0,L1_age=mid,,,,,,1,0.0
L1_age=young|L2_education=others,L2,L1_age=young,26,14,0.07692307692307693,0.07142857142857142,0.45,0.4,,,,,,,True,0,40,0.075,L1_age=young,,,,,,1,0.075
ROOT,L1,,3645,1561,0.2438957475994513,0.23894939141575913,0.45,0.25,0.12572069186418963,0.757123473541384,0.7664835164835165,0.7479892761394102,0.11659192825112108,0.23318385650224216,False,1561,26049,0.24081538638719335,,,,,,,2,0.24081538638719335
L1_age=old,L1,ROOT,1241,599,0.37389202256244963,0.32053422370617696,0.35,0.3,0.14858096828046743,0.7832167832167832,0.7088607594936709,0.875,0.028380634390651086,0.39565943238731216,False,599,8929,0.36051069548661663,,,,,,,2,0.36051069548661663
L1_age=mid,L1,ROOT,954,448,0.1949685534591195,0.17857142857142858,0.5,0.25,0.13169642857142858,0.6614173228346456,0.8936170212765957,0.525,0.109375,0.10491071428571429,False,448,6797,0.1881712520229513,,,,,,,2,0.1881712520229513
L1_age=very_old,L1,ROOT,717,320,0.3403068340306834,0.315625,0.4,0.35,0.16171875,0.7632850241545893,0.7452830188679245,0.7821782178217822,0.04375,0.33125,False,320,5198,0.32358599461331283,,,,,,,2,0.32358599461331283
L1_age=young,L1,ROOT,817,331,0.019583843329253364,0.00906344410876133,0.5,0.45,0.00906344410876133,0.5,1.0,0.3333333333333333,0.0,0.0030211480362537764,False,331,5125,0.018146341463414633,,,,,,,2,0.018146341463414633
L1_age=old|L2_education=high,L2,L1_age=old,596,258,0.4463087248322148,0.3333333333333333,0.55,0.25,0.2131782945736434,0.6896551724137931,0.6818181818181818,0.6976744186046512,0.24806201550387597,0.34108527131782945,False,258,4280,0.4095794392523365,,,,,,,2,0.4095794392523365
L1_age=mid|L2_education=high,L2,L1_age=mid,479,190,0.22129436325678498,0.23684210526315788,0.4,0.1,0.17105263157894737,0.6666666666666665,0.75,0.6,0.26842105263157895,0.18947368421052632,False,190,3360,0.23958333333333334,,,,,,,2,0.23958333333333334
L1_age=old|L2_education=mid,L2,L1_age=old,458,202,0.21397379912663755,0.19306930693069307,0.5,0.3,0.1485148514851485,0.5901639344262295,0.8181818181818182,0.46153846153846156,0.18811881188118812,0.10891089108910891,False,202,3315,0.21327300150829562,,,,,,,2,0.21327300150829562
L1_age=mid|L2_education=mid,L2,L1_age=mid,389,245,0.11568123393316196,0.09795918367346938,0.45,0.4,0.09591836734693877,0.5,1.0,0.3333333333333333,0.00816326530612245,0.0326530612244898,False,245,2824,0.096671388101983,,,,,,,2,0.096671388101983
L1_age=young|L2_education=high,L2,L1_age=young,370,205,0.03513513513513514,0.04390243902439024,0.4,0.35,0.032926829268292684,0.6666666666666667,0.8333333333333334,0.5555555555555556,0.0,0.02926829268292683,False,205,2588,0.02472952086553323,,,,,,,2,0.02472952086553323
L1_age=old|L2_education=high|L3_hours-per-week=normal_hours,L3,L1_age=old|L2_education=high,1807,771,0.38848920863309355,0.35149156939040205,0.45,0.4,0.1880674448767834,0.7500000000000001,0.6915887850467289,0.8191881918819188,0.03761348897535668,0.4163424124513619,False,771,2578,0.37742435996896817,,633.0,0.3902053712480253,0.0,0.43285939968404424,0.18996840442338073,2,0.37742435996896817
L1_age=young|L2_education=mid,L2,L1_age=young,334,190,0.014970059880239521,0.021052631578947368,0.35,0.25,0.015789473684210527,0.6666666666666666,1.0,0.5,0.0,0.010526315789473684,False,190,2380,0.010084033613445379,,,,,,,2,0.010084033613445379
L1_age=very_old|L2_education=mid,L2,L1_age=very_old,310,144,0.2161290322580645,0.25,0.4,0.15,0.17708333333333334,0.6451612903225806,0.7692307692307693,0.5555555555555556,0.25,0.18055555555555555,False,144,2289,0.2018348623853211,,,,,,,2,0.2018348623853211
L1_age=old|L2_education=mid|L3_hours-per-week=normal_hours,L3,L1_age=old|L2_education=mid,1518,648,0.21080368906455862,0.1867283950617284,0.5,0.3,0.1574074074074074,0.5494505494505495,0.819672131147541,0.4132231404958678,0.2052469135802469,0.0941358024691358,False,648,2166,0.203601108033241,,547.0,0.22486288848263253,0.0,0.10054844606946983,0.1983546617915905,2,0.203601108033241
L1_age=mid|L2_education=high|L3_hours-per-week=normal_hours,L3,L1_age=mid|L2_education=high,1482,589,0.203778677462888,0.23089983022071306,0.45,0.2,0.1727504244482173,0.6290322580645161,0.6964285714285714,0.5735294117647058,0.15789473684210525,0.19015280135823429,False,589,2071,0.21149203283437953,,513.0,0.18518518518518517,0.0,0.17543859649122806,0.1564327485380117,2,0.21149203283437953
L1_age=very_old|L2_education=high,L2,L1_age=very_old,261,115,0.3831417624521073,0.4,0.55,0.3,0.10434782608695652,0.8809523809523809,0.9736842105263158,0.8043478260869565,0.16521739130434782,0.33043478260869563,False,115,1889,0.41821069348861833,,,,,,,2,0.41821069348861833
L1_age=mid|L2_education=mid|L3_hours-per-week=normal_hours,L3,L1_age=mid|L2_education=mid,1262,612,0.09112519809825674,0.0915032679738562,0.5,0.25,0.09803921568627451,0.39436619718309857,0.9333333333333333,0.25,0.08006535947712418,0.024509803921568627,False,612,1874,0.0912486659551761,,447.0,0.06263982102908278,0.0,0.026845637583892617,0.05592841163310962,2,0.0912486659551761
L1_age=very_old|L2_education=mid|L3_hours-per-week=normal_hours,L3,L1_age=very_old|L2_education=mid,904,424,0.22898230088495575,0.20518867924528303,0.4,0.35,0.18867924528301888,0.5714285714285715,0.6216216216216216,0.5287356321839081,0.06132075471698113,0.17452830188679244,False,424,1328,0.2213855421686747,,326.0,0.24233128834355827,0.0,0.18098159509202455,0.21012269938650308,2,0.2213855421686747
L1_age=old|L2_education=high|L3_hours-per-week=high_hours,L3,L1_age=old|L2_education=high,882,377,0.536281179138322,0.5437665782493368,0.35,0.2,0.23010610079575597,0.7861771058315336,0.7054263565891473,0.8878048780487805,0.129973474801061,0.6843501326259946,False,377,1259,0.5385226370135028,,309.0,0.5728155339805825,0.0,0.7540453074433657,0.22653721682847897,2,0.5385226370135028
L1_age=young|L2_education=high|L3_hours-per-week=low_hours,L3,L1_age=young|L2_education=high,866,358,0.005773672055427252,0.002793296089385475,0.45,0.4,0.004189944134078212,0.0,0.0,0.0,0.0,0.0,False,358,1224,0.004901960784313725,,292.0,0.0,0.0,0.0,0.0,2,0.004901960784313725
L1_age=young|L2_education=mid|L3_hours-per-week=normal_hours,L3,L1_age=young|L2_education=mid,803,333,0.0112079701120797,0.012012012012012012,0.35,0.2,0.009009009009009009,0.6666666666666666,1.0,0.5,0.0,0.006006006006006006,False,333,1136,0.011443661971830986,,302.0,0.006622516556291391,0.0,0.0,0.009933774834437087,2,0.011443661971830986
L1_age=young|L2_education=high|L3_hours-per-week=normal_hours,L3,L1_age=young|L2_education=high,823,302,0.03523693803159174,0.029801324503311258,0.75,0.2,0.033112582781456956,0.3636363636363636,1.0,0.2222222222222222,0.046357615894039736,0.006622516556291391,False,302,1125,0.033777777777777775,,284.0,0.035211267605633804,0.0,0.014084507042253521,0.030809859154929578,2,0.033777777777777775
L1_age=old|L2_education=top,L2,L1_age=old,206,90,0.7038834951456311,0.6333333333333333,0.35,0.25,0.175,0.8547008547008548,0.8333333333333334,0.8771929824561403,0.07777777777777778,0.6666666666666666,False,90,1069,0.6941066417212348,,,,,,,2,0.6941066417212348
L1_age=young|L2_education=mid|L3_hours-per-week=low_hours,L3,L1_age=young|L2_education=mid,727,304,0.001375515818431912,0.0,0.35,0.25,,,,,,,True,0,1031,0.0009699321047526673,L1_age=young|L2_education=mid,262.0,0.0,0.0,0.003816793893129771,0.0028625954198473282,2,0.0009699321047526673
