fold,model,Precision,Recall,F1,BAC,AUC,MCC,Kappa,BND_ratio,POS_Coverage,Regret
1,BTTWD,0.5383411580594679,0.3346303501945525,0.41271745650869823,0.6504599585505959,0.8649808559955572,0.3734674925339159,0.36123812359765195,0.05542489007055936,0.03834747929236118,0.1329890581859086
2,BTTWD,0.5553772070626003,0.3362487852283771,0.41888619854721554,0.6522958211856171,0.872846924892406,0.38267737057331497,0.3687902471993456,0.030064423765211165,0.04172205747008897,0.1309949892627058
3,BTTWD,0.5725677830940988,0.3488824101068999,0.4335748792270532,0.6591269193391642,0.8719630154102456,0.39865167063235357,0.384533515194726,0.05337969117496676,0.047244094488188976,0.13073933940075672
4,BTTWD,0.5739644970414202,0.3770651117589893,0.45513196480938417,0.6720754130223519,0.88220508121616,0.4162889766074636,0.4055294641986019,0.043358216586563046,0.04223335719398712,0.12567747213416505
5,BTTWD,0.5464396284829721,0.3430515063168124,0.42149253731343284,0.6547828960155491,0.8710047480216576,0.3824209621876299,0.37039028376536187,0.03221188260558339,0.043153696697003786,0.1320175887105021
1,RandomForest,0.5402476780185759,0.33949416342412453,0.4169653524492234,0.6527775925108281,0.8566539032559704,0.3773045731811552,0.36548421173697154,0.0,,0.13452295735760303
2,RandomForest,0.5488165680473372,0.36054421768707484,0.4351906158357771,0.662843537414966,0.8629034568929612,0.39395500116457544,0.3837727384534485,0.0,,0.13211984865528173
3,RandomForest,0.6028938906752411,0.36443148688046645,0.4542701393095093,0.6681014577259475,0.8636817992503124,0.42270889784916477,0.4072756417350143,0.0,,0.12557521218938542
4,RandomForest,0.5742857142857143,0.39067055393586003,0.4650086755349913,0.6783067055393586,0.8741042343468001,0.4244644838003122,0.415180395843073,0.0,,0.12664894160957152
5,RandomForest,0.5563689604685212,0.369290573372206,0.4439252336448598,0.6673310009718173,0.8607328057753715,0.40288633828181525,0.39295857064479645,0.0,,0.13053481951119747
1,KNN,0.43026315789473685,0.31809338521400776,0.3657718120805369,0.6343066628961137,0.7791837130787053,0.30772796415939185,0.30353079820417816,0.0,,0.15180488802536046
2,KNN,0.45251396648044695,0.31486880466472306,0.37134670487106025,0.6350344023323615,0.7829220047202554,0.3181219493250722,0.3119311118005479,0.0,,0.14822578995807342
3,KNN,0.4891008174386921,0.3488824101068999,0.40726035167328417,0.6530126336248785,0.7889856448701931,0.3563827577955387,0.3503381001862388,0.0,,0.14111872379588916
4,KNN,0.4816223067173637,0.369290573372206,0.41804180418041803,0.6612738581146744,0.7928087741218937,0.36340202053379994,0.3595464039033184,0.0,,0.14137437365783823
5,KNN,0.4781456953642384,0.35082604470359574,0.40470852017937226,0.6528987366375122,0.7847906705539358,0.3515382507778351,0.3465055821357561,0.0,,0.14275488291236324
1,XGBoost,0.5709624796084829,0.3404669260700389,0.42656916514320536,0.6552066089611993,0.8686421940883243,0.39277645085636637,0.3776944508934226,0.0,,0.13089272931792617
2,XGBoost,0.5721003134796239,0.35471331389698735,0.43791241751649673,0.6617566569484936,0.8778786616687492,0.4019728105863459,0.38867341015221646,0.0,,0.12976786992535025
3,XGBoost,0.587171052631579,0.3469387755102041,0.436163714111179,0.6591265306122449,0.876380452589199,0.4044121242980853,0.38835521600351397,0.0,,0.12874527047755394
4,XGBoost,0.5694444444444444,0.358600583090379,0.4400715563506261,0.6633574344023323,0.882986755518534,0.4030268120136409,0.39050819674416204,0.0,,0.12976786992535025
5,XGBoost,0.5660964230171073,0.35374149659863946,0.4354066985645933,0.6609278911564626,0.8732753574899347,0.39846437389769396,0.3856886388769587,0.0,,0.13053481951119747
