bucket_id,Precision,Recall,F1,BAC,AUC,MCC,Kappa,Regret,BND_ratio,POS_Coverage,n_samples,alpha,beta
L1_neighbourhood_group=manhattan|L2_room_type=shared_room|L3_availability_365=long_term,0.0,0.0,0.0,0.5,0.7567567567567568,0.0,0.0,0.039473684210526314,0.0,0.0,38,0.5,0.3
L1_neighbourhood_group=bronx|L2_room_type=private_room|L3_availability_365=long_term,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.027777777777777776,0.0,0.0,54,0.5,0.3
L1_neighbourhood_group=bronx|L2_room_type=entire_home|L3_availability_365=long_term,0.0,0.0,0.0,0.5,0.7391304347826086,0.0,0.0,0.17307692307692307,0.11538461538461539,0.0,26,0.5,0.3
L1_neighbourhood_group=staten_island|L2_room_type=entire_home|L3_availability_365=mid_term,0.0,0.0,0.0,0.5,0.875,0.0,0.0,0.4090909090909091,0.0,0.0,11,0.5,0.3
L1_neighbourhood_group=bronx|L2_room_type=entire_home|L3_availability_365=mid_term,0.0,0.0,0.0,0.5,0.9642857142857143,0.0,0.0,0.1,0.0,0.0,30,0.5,0.3
L1_neighbourhood_group=queens|L2_room_type=shared_room|L3_availability_365=mid_term,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,11,0.5,0.3
L1_neighbourhood_group=brooklyn|L2_room_type=shared_room|L3_availability_365=rare,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,27,0.5,0.3
L1_neighbourhood_group=bronx|L2_room_type=shared_room|L3_availability_365=mid_term,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,6,0.5,0.3
L1_neighbourhood_group=queens|L2_room_type=shared_room|L3_availability_365=long_term,0.0,0.0,0.0,0.5,0.5555555555555556,0.0,0.0,0.15,0.0,0.0,10,0.5,0.3
L1_neighbourhood_group=bronx|L2_room_type=shared_room|L3_availability_365=long_term,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,3,0.5,0.3
L1_neighbourhood_group=staten_island|L2_room_type=entire_home|L3_availability_365=rare,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,9,0.5,0.3
L1_neighbourhood_group=staten_island|L2_room_type=shared_room|L3_availability_365=mid_term,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,2,0.5,0.3
L1_neighbourhood_group=staten_island|L2_room_type=private_room|L3_availability_365=mid_term,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,6,0.5,0.3
L1_neighbourhood_group=staten_island|L2_room_type=private_room|L3_availability_365=rare,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,2,0.5,0.3
L1_neighbourhood_group=bronx|L2_room_type=shared_room|L3_availability_365=rare,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,5,0.5,0.3
L1_neighbourhood_group=staten_island|L2_room_type=shared_room|L3_availability_365=rare,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,2,0.5,0.3
L1_neighbourhood_group=manhattan|L2_room_type=entire_home,0.6666666666666666,0.3317683881064163,0.4430512016718914,0.6391029914256184,0.7805182111703403,0.36581567725045755,0.3352170677582227,0.27521008403361347,0.1852559205500382,0.12146676852559206,2618,0.5,0.3
L1_neighbourhood_group=manhattan,0.6891495601173021,0.32324621733149933,0.44007490636704116,0.6467103343269764,0.8454743052561425,0.40690340042314205,0.3719692446128763,0.19096005606166783,0.11796309273534221,0.07965428638168652,4281,0.5,0.3
L1_neighbourhood_group=brooklyn|L2_room_type=shared_room,0.0,0.0,0.0,0.5,0.6951219512195121,0.0,0.0,0.018072289156626505,0.0,0.0,83,0.5,0.3
L1_neighbourhood_group=brooklyn,0.5714285714285714,0.06324110671936758,0.11387900355871887,0.5300765492423395,0.8509496947591332,0.1757992052572048,0.10295145492479263,0.08854795844406861,0.02561005073689297,0.0067649190625755015,4139,0.5,0.3
L1_neighbourhood_group=manhattan|L2_room_type=private_room,1.0,0.2839506172839506,0.4423076923076923,0.6419753086419753,0.882637123440174,0.5227657970370494,0.42925861267755994,0.05520102105934908,0.012763241863433313,0.014677728142948309,1567,0.5,0.3
L1_neighbourhood_group=brooklyn|L2_room_type=entire_home,0.5714285714285714,0.06866952789699571,0.12260536398467432,0.5308645499519681,0.7413201210355038,0.1683674564507503,0.09966455191429857,0.1712538226299694,0.053516819571865444,0.014271151885830785,1962,0.5,0.3
L1_neighbourhood_group=queens|L2_room_type=private_room,0.0,0.0,0.0,0.5,0.7270114942528736,0.0,0.0,0.013975155279503106,0.0,0.0,644,0.5,0.3
L1_neighbourhood_group=queens,0.5,0.07692307692307693,0.13333333333333336,0.5370066403044095,0.8063866298589868,0.18574830163962688,0.12482697873411341,0.053738317757009345,0.014953271028037384,0.005607476635514018,1070,0.5,0.3
L1_neighbourhood_group=queens|L2_room_type=entire_home,0.5,0.0967741935483871,0.16216216216216214,0.5442434503653537,0.7118160755658528,0.19452839726093932,0.14016514926953216,0.11577608142493638,0.04071246819338423,0.015267175572519083,393,0.5,0.3
L1_neighbourhood_group=brooklyn|L2_room_type=private_room,0.0,0.0,0.0,0.5,0.7869118579581483,0.0,0.0,0.013849092645654251,0.0004775549188156638,0.0,2094,0.5,0.3
L1_neighbourhood_group=manhattan|L2_room_type=shared_room,0.0,0.0,0.0,0.5,0.7913322632423756,0.0,0.0,0.109375,0.0,0.0,96,0.5,0.3
L1_neighbourhood_group=bronx|L2_room_type=private_room,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.011278195488721804,0.0,0.0,133,0.5,0.3
L1_neighbourhood_group=bronx,0.0,0.0,0.0,0.5,0.9419439008480104,0.0,0.0,0.046460176991150445,0.01327433628318584,0.0,226,0.5,0.3
L1_neighbourhood_group=queens|L2_room_type=shared_room,0.0,0.0,0.0,0.5,0.5967741935483871,0.0,0.0,0.09090909090909091,0.0,0.0,33,0.5,0.3
L1_neighbourhood_group=bronx|L2_room_type=entire_home,0.0,0.0,0.0,0.5,0.8424657534246576,0.0,0.0,0.11392405063291139,0.0379746835443038,0.0,79,0.5,0.3
L1_neighbourhood_group=staten_island|L2_room_type=private_room,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,32,0.5,0.3
L1_neighbourhood_group=staten_island,0.0,0.0,0.0,0.5,0.8944444444444445,0.0,0.0,0.07142857142857142,0.0,0.0,63,0.5,0.3
L1_neighbourhood_group=staten_island|L2_room_type=entire_home,0.0,0.0,0.0,0.5,0.7777777777777777,0.0,0.0,0.16666666666666666,0.0,0.0,27,0.5,0.3
L1_neighbourhood_group=bronx|L2_room_type=shared_room,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,14,0.5,0.3
L1_neighbourhood_group=staten_island|L2_room_type=shared_room,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,4,0.5,0.3
