model,Precision,Recall,F1,BAC,AUC,MCC,Kappa,BND_ratio,POS_Coverage,Regret
BTTWD,0.5573380547481118,0.34797563272112625,0.4283606072811567,0.6577482016226556,0.8726001251072052,0.3907012945069356,0.37809632679113747,0.04288782084057675,0.042540137028326,0.13048368953880765
RandomForest,0.5645225622990779,0.3648861990599464,0.4430720033548722,0.6658720588325835,0.8636152399042831,0.40426385885540456,0.39293431168266074,0.0,,0.12988035586460783
KNN,0.4663291887790956,0.3403922436122865,0.39342583859693436,0.6473052587211081,0.7857381614689967,0.33943458851832753,0.33437039924600787,0.0,,0.1450557316699049
XGBoost,0.5731549426362476,0.35089221903324974,0.4352247103372201,0.6600750244161465,0.8758326842709483,0.40013051433042646,0.3861839825340547,0.0,,0.12994171183147563
