model,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,BAC_mean,BAC_std,AUC_mean,AUC_std,MCC_mean,MCC_std,Kappa_mean,Kappa_std,BND_ratio_mean,BND_ratio_std,POS_Coverage_mean,POS_Coverage_std,Regret_mean,Regret_std
BTTWD,0.3848397719573848,0.006776464713588635,0.6428792639901986,0.020604942196785048,0.4814043361386771,0.009922764211961433,0.7610295603298203,0.00945185154514652,0.8726001251072052,0.006191132582082374,0.4208361391701393,0.01240249658650077,0.40281949065644157,0.010957199408976475,0.12584108804581245,0.01847039379728266,0.12066673483996318,0.020473707662251983,0.2642908272829533,0.007819459651418814
LogReg,0.4072282540812714,0.014730282477988948,0.35808064192881156,0.01729141900534813,0.38102441435606743,0.01585285987153638,0.64841245084344,0.008821031300367481,0.8393571693569013,0.006886707012685032,0.3142888464875844,0.016889558045388435,0.31346685215407977,0.01700756544583523,0.0,0.0,,,0.3249412005317517,0.007574860112021951
RandomForest,0.47136272964163145,0.014891156552347313,0.5009653889348958,0.019301358509460093,0.48560801197920433,0.015446217173135622,0.7174434480139814,0.009742673021409663,0.8636152399042831,0.00578443954165931,0.4233852973971274,0.017110702171979915,0.4230796415249306,0.01703814989636463,0.0,0.0,,,0.2691277226710298,0.008425971242436346
KNN,0.35164226213895894,0.005034575869100089,0.5357662798304424,0.01197460229724607,0.42455884595322557,0.006246650198206082,0.7098044707019067,0.005330577034436778,0.7857381614689967,0.00473980977038004,0.3509122019015344,0.007412978304036936,0.3408305730030204,0.0068913244505044765,0.0,0.0,,,0.29929440638102056,0.004099284752298239
XGBoost,0.4859269742457677,0.007410534352810654,0.48522100335409313,0.012926317112227513,0.48554101112947257,0.009800169213642131,0.712439756129599,0.00640117504675725,0.8758326842709483,0.004773046791927039,0.42513655376491616,0.010499534778049942,0.42511863142293216,0.01051679367643699,0.0,0.0,,,0.27062071786481234,0.005296867722885252
