bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,parent_with_threshold,n_test,pos_rate_test,BND_ratio_test,POS_Coverage_test,regret_test,fold,pos_rate
L1_neighbourhood_group=brooklyn|L2_room_type=shared_room,L2,L1_neighbourhood_group=brooklyn,157,90,0.006369426751592357,0.011111111111111112,0.4,0.2,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,False,90,334,0.005988023952095809,0.5,0.8314606741573034,f1_regret_bnd,-0.016666666666666666,-0.02008551728490509,0.0034188506182384233,False,L1_neighbourhood_group=brooklyn|L2_room_type=shared_room,,,,,,,1,0.005988023952095809
L1_neighbourhood_group=bronx|L2_room_type=entire_home,L2,L1_neighbourhood_group=bronx,212,86,0.06132075471698113,0.10465116279069768,0.5,0.4,0.12790697674418605,0.19999999999999998,1.0,0.1111111111111111,0.046511627906976744,0.011627906976744186,True,86,298,0.0738255033557047,0.5425685425685426,0.7792207792207791,f1_regret_bnd,0.04883720930232556,0.07027972027972028,-0.02144251097739472,True,ROOT,,,,,,,1,0.0738255033557047
L1_neighbourhood_group=staten_island,L1,ROOT,120,92,0.08333333333333333,0.043478260869565216,0.5,0.4,0.06521739130434782,0.0,0.0,0.0,0.0,0.0,True,92,296,0.0472972972972973,0.5,0.7357954545454546,f1_regret_bnd,-0.06521739130434782,0.1977401129943503,-0.26295750429869813,True,ROOT,,,,,,,1,0.0472972972972973
L1_neighbourhood_group=bronx|L2_room_type=private_room|L3_availability_365=long_term,L3,L1_neighbourhood_group=bronx|L2_room_type=private_room,156,64,0.01282051282051282,0.015625,0.5,0.4,0.0234375,0.0,0.0,0.0,0.0,0.0,True,64,220,0.013636363636363636,0.5,0.9206349206349207,f1_regret_bnd,-0.0234375,-0.009868421052631578,-0.013569078947368422,True,ROOT,,50.0,0.0,0.0,0.0,0.0,1,0.013636363636363636
L1_neighbourhood_group=bronx|L2_room_type=private_room|L3_availability_365=mid_term,L3,L1_neighbourhood_group=bronx|L2_room_type=private_room,127,61,0.007874015748031496,0.0,0.5,0.4,,,,,,,True,0,188,0.005319148936170213,,,f1_regret_bnd,,-0.009868421052631578,,True,ROOT,,53.0,0.0,0.0,0.0,0.0,1,0.005319148936170213
L1_neighbourhood_group=manhattan|L2_room_type=shared_room|L3_availability_365=rare,L3,L1_neighbourhood_group=manhattan|L2_room_type=shared_room,114,49,0.043859649122807015,0.02040816326530612,0.5,0.4,,,,,,,True,0,163,0.03680981595092025,,,f1_regret_bnd,,-0.036290322580645164,,True,ROOT,,38.0,0.05263157894736842,0.0,0.0,0.07894736842105263,1,0.03680981595092025
L1_neighbourhood_group=queens|L2_room_type=shared_room,L2,L1_neighbourhood_group=queens,109,45,0.03669724770642202,0.022222222222222223,0.4,0.3,,,,,,,True,0,154,0.032467532467532464,,,f1_regret_bnd,,0.220873786407767,,True,L1_neighbourhood_group=queens,L1_neighbourhood_group=queens,,,,,,1,0.032467532467532464
L1_neighbourhood_group=staten_island|L2_room_type=private_room,L2,L1_neighbourhood_group=staten_island,104,46,0.0,0.021739130434782608,0.5,0.4,,,,,,,True,0,150,0.006666666666666667,,,f1_regret_bnd,,-0.06521739130434782,,True,ROOT,,,,,,,1,0.006666666666666667
L1_neighbourhood_group=brooklyn|L2_room_type=shared_room|L3_availability_365=long_term,L3,L1_neighbourhood_group=brooklyn|L2_room_type=shared_room,108,38,0.0,0.0,0.4,0.2,,,,,,,True,0,146,0.0,,,f1_regret_bnd,,-0.016666666666666666,,True,L1_neighbourhood_group=brooklyn|L2_room_type=shared_room,L1_neighbourhood_group=brooklyn|L2_room_type=shared_room,44.0,0.022727272727272728,0.0,0.0,0.03409090909090909,1,0.0
L1_neighbourhood_group=staten_island|L2_room_type=entire_home,L2,L1_neighbourhood_group=staten_island,97,41,0.10309278350515463,0.07317073170731707,0.5,0.4,,,,,,,True,0,138,0.09420289855072464,,,f1_regret_bnd,,-0.06521739130434782,,True,ROOT,,,,,,,1,0.09420289855072464
