bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,cost_source,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,use_gain_weak_backoff,threshold_data_source,parent_with_threshold
L1_age=mid|L2_education=mid|L3_hours-per-week=normal_hours,L3,L1_age=mid|L2_education=mid,1607,714,0.0939639079029247,0.06722689075630252,0.5,0.3,0.08263305322128851,0.2857142857142857,1.0,0.16666666666666666,0.028011204481792718,0.011204481792717087,False,714,2321,0.08573890564411892,0.5728228228228228,0.8769081581581581,global_default,f1_regret_bnd,,,,False,L1_age=mid|L2_education=mid|L3_hours-per-week=normal_hours,False,val,
L1_age=very_old|L2_education=mid|L3_hours-per-week=normal_hours,L3,L1_age=very_old|L2_education=mid,1142,512,0.23029772329246936,0.21484375,0.5,0.3,0.19775390625,0.4968944099378882,0.7843137254901961,0.36363636363636365,0.25,0.099609375,False,512,1654,0.22551390568319227,0.5636589778380823,0.8580732700135685,global_default,f1_regret_bnd,,,,False,L1_age=very_old|L2_education=mid|L3_hours-per-week=normal_hours,False,val,
L1_age=old|L2_education=high|L3_hours-per-week=high_hours,L3,L1_age=old|L2_education=high,1078,490,0.5380333951762524,0.5612244897959183,0.4,0.3,0.21479591836734693,0.8086522462562397,0.745398773006135,0.8836363636363637,0.07346938775510205,0.6653061224489796,False,490,1568,0.545280612244898,0.697632135306554,0.8512642706131078,global_default,f1_regret_bnd,,,,False,L1_age=old|L2_education=high|L3_hours-per-week=high_hours,False,val,
L1_age=young|L2_education=high|L3_hours-per-week=low_hours,L3,L1_age=young|L2_education=high,1050,466,0.0038095238095238095,0.004291845493562232,0.4,0.3,0.006437768240343348,0.0,0.0,0.0,0.0,0.0,False,466,1516,0.00395778364116095,0.5,0.9170258620689655,global_default,f1_regret_bnd,,,,False,L1_age=young|L2_education=high|L3_hours-per-week=low_hours,False,val,
L1_age=young|L2_education=mid|L3_hours-per-week=normal_hours,L3,L1_age=young|L2_education=mid,1000,438,0.011,0.0091324200913242,0.4,0.3,0.0,1.0,1.0,1.0,0.0,0.0091324200913242,False,438,1438,0.01043115438108484,1.0,1.0,global_default,f1_regret_bnd,,,,False,L1_age=young|L2_education=mid|L3_hours-per-week=normal_hours,False,val,
L1_age=young|L2_education=high|L3_hours-per-week=normal_hours,L3,L1_age=young|L2_education=high,989,420,0.033367037411526794,0.03571428571428571,0.7,0.3,0.03154761904761905,0.5,1.0,0.3333333333333333,0.030952380952380953,0.011904761904761904,False,420,1409,0.034066713981547196,0.6567901234567901,0.9522633744855967,global_default,f1_regret_bnd,,,,False,L1_age=young|L2_education=high|L3_hours-per-week=normal_hours,False,val,
L1_age=old|L2_education=top,L2,L1_age=old,270,99,0.6407407407407407,0.6060606060606061,0.4,0.3,0.10606060606060606,0.9076923076923077,0.8428571428571429,0.9833333333333333,0.030303030303030304,0.7070707070707071,False,99,1354,0.689807976366322,0.8121794871794872,0.9307692307692308,global_default,f1_regret_bnd,,,,False,L1_age=old|L2_education=top,False,val,
L1_age=young|L2_education=mid|L3_hours-per-week=low_hours,L3,L1_age=young|L2_education=mid,876,417,0.0,0.002398081534772182,0.2,0.1,0.0035971223021582736,0.0,0.0,0.0,0.0,0.0,False,417,1293,0.0007733952049497294,0.5,0.9831730769230769,global_default,f1_regret_bnd,,,,False,L1_age=young|L2_education=mid|L3_hours-per-week=low_hours,False,val,
L1_age=very_old|L2_education=high|L3_hours-per-week=normal_hours,L3,L1_age=very_old|L2_education=high,867,377,0.4348327566320646,0.44562334217506633,0.4,0.3,0.20490716180371352,0.7786259541984734,0.68,0.9107142857142857,0.0610079575596817,0.596816976127321,False,377,1244,0.43810289389067525,0.7400461380724539,0.8697596263385737,global_default,f1_regret_bnd,,,,False,L1_age=very_old|L2_education=high|L3_hours-per-week=normal_hours,False,val,
L1_age=mid|L2_education=high|L3_hours-per-week=high_hours,L3,L1_age=mid|L2_education=high,794,306,0.345088161209068,0.39869281045751637,0.4,0.2,0.22303921568627452,0.7325102880658436,0.7355371900826446,0.7295081967213115,0.20588235294117646,0.3954248366013072,False,306,1100,0.36,0.6636671418389166,0.8607893799002138,global_default,f1_regret_bnd,,,,False,L1_age=mid|L2_education=high|L3_hours-per-week=high_hours,False,val,
L1_age=old|L2_education=mid|L3_hours-per-week=high_hours,L3,L1_age=old|L2_education=mid,626,290,0.30670926517571884,0.32413793103448274,0.4,0.2,0.2543103448275862,0.6304347826086957,0.6444444444444445,0.6170212765957447,0.24482758620689654,0.3103448275862069,False,290,916,0.31222707423580787,0.6018779852366478,0.8267477203647416,global_default,f1_regret_bnd,,,,False,L1_age=old|L2_education=mid|L3_hours-per-week=high_hours,False,val,
L1_age=very_old|L2_education=mid|L3_hours-per-week=low_hours,L3,L1_age=very_old|L2_education=mid,534,223,0.07116104868913857,0.07623318385650224,0.5,0.4,0.06838565022421525,0.5833333333333334,1.0,0.4117647058823529,0.004484304932735426,0.03139013452914798,False,223,757,0.0726552179656539,0.7034551684751571,0.839520274129069,global_default,f1_regret_bnd,,,,False,L1_age=very_old|L2_education=mid|L3_hours-per-week=low_hours,False,val,
L1_age=very_old|L2_education=top,L2,L1_age=very_old,179,246,0.5642458100558659,0.6788617886178862,0.4,0.3,0.1524390243902439,0.8788732394366198,0.8297872340425532,0.9341317365269461,0.06504065040650407,0.7642276422764228,False,246,754,0.6631299734748011,0.7075721973773972,0.8849389827939059,global_default,f1_regret_bnd,,,,False,L1_age=very_old|L2_education=top,False,val,
L1_age=mid|L2_education=mid|L3_hours-per-week=high_hours,L3,L1_age=mid|L2_education=mid,533,206,0.17823639774859287,0.1553398058252427,0.6,0.2,0.1796116504854369,0.358974358974359,1.0,0.21875,0.24271844660194175,0.03398058252427184,False,206,739,0.17185385656292287,0.5030531609195402,0.7668821839080461,global_default,f1_regret_bnd,,,,False,L1_age=mid|L2_education=mid|L3_hours-per-week=high_hours,False,val,
L1_age=old|L2_education=top|L3_hours-per-week=normal_hours,L3,L1_age=old|L2_education=top,498,164,0.6144578313253012,0.676829268292683,0.4,0.3,0.1448170731707317,0.8898305084745762,0.84,0.9459459459459459,0.042682926829268296,0.7621951219512195,False,164,662,0.6299093655589124,0.7371239163691994,0.8636749957504675,global_default,f1_regret_bnd,,,,False,L1_age=old|L2_education=top|L3_hours-per-week=normal_hours,False,val,
L1_age=old|L2_education=top|L3_hours-per-week=high_hours,L3,L1_age=old|L2_education=top,402,164,0.8283582089552238,0.7439024390243902,0.4,0.3,0.12347560975609756,0.9090909090909091,0.8450704225352113,0.9836065573770492,0.042682926829268296,0.8658536585365854,False,164,566,0.803886925795053,0.6584699453551912,0.8842701014832163,global_default,f1_regret_bnd,,,,False,L1_age=old|L2_education=top|L3_hours-per-week=high_hours,False,val,
L1_age=mid|L2_education=top,L2,L1_age=mid,116,161,0.3793103448275862,0.4658385093167702,0.5,0.3,0.13819875776397517,0.8571428571428572,0.8354430379746836,0.88,0.07453416149068323,0.4906832298136646,False,161,553,0.45207956600361665,0.817906976744186,0.9341085271317829,global_default,f1_regret_bnd,,,,False,L1_age=mid|L2_education=top,False,val,
L1_age=old|L2_education=high|L3_hours-per-week=low_hours,L3,L1_age=old|L2_education=high,389,160,0.2159383033419023,0.225,0.5,0.4,0.1125,0.7692307692307692,0.8620689655172413,0.6944444444444444,0.0375,0.18125,False,160,549,0.2185792349726776,0.8189964157706093,0.9529569892473119,global_default,f1_regret_bnd,,,,False,L1_age=old|L2_education=high|L3_hours-per-week=low_hours,False,val,
L1_age=very_old|L2_education=high|L3_hours-per-week=low_hours,L3,L1_age=very_old|L2_education=high,391,155,0.22506393861892582,0.21935483870967742,0.8,0.2,0.1967741935483871,0.4444444444444445,0.9090909090909091,0.29411764705882354,0.3548387096774194,0.07096774193548387,False,155,546,0.22344322344322345,0.49829849295089934,0.8354399611084103,global_default,f1_regret_bnd,,,,False,L1_age=very_old|L2_education=high|L3_hours-per-week=low_hours,False,val,
L1_age=very_old|L2_education=high|L3_hours-per-week=high_hours,L3,L1_age=very_old|L2_education=high,358,185,0.5614525139664804,0.5405405405405406,0.4,0.3,0.23108108108108108,0.7945205479452055,0.7310924369747899,0.87,0.11351351351351352,0.6432432432432432,False,185,543,0.5543278084714549,0.6585294117647059,0.8358823529411765,global_default,f1_regret_bnd,,,,False,L1_age=very_old|L2_education=high|L3_hours-per-week=high_hours,False,val,
L1_age=old|L2_education=mid|L3_hours-per-week=low_hours,L3,L1_age=old|L2_education=mid,386,151,0.07772020725388601,0.0728476821192053,0.7,0.2,0.08278145695364239,0.3076923076923077,1.0,0.18181818181818182,0.10596026490066225,0.013245033112582781,False,151,537,0.07635009310986965,0.5516233766233766,0.9019480519480519,global_default,f1_regret_bnd,,,,False,L1_age=old|L2_education=mid|L3_hours-per-week=low_hours,False,val,
L1_age=mid|L2_education=high|L3_hours-per-week=low_hours,L3,L1_age=mid|L2_education=high,365,169,0.12054794520547946,0.1242603550295858,0.6,0.3,0.08579881656804733,0.6666666666666667,0.9166666666666666,0.5238095238095238,0.08875739644970414,0.07100591715976332,False,169,534,0.12172284644194757,0.7247425997425998,0.9343629343629344,global_default,f1_regret_bnd,,,,False,L1_age=mid|L2_education=high|L3_hours-per-week=low_hours,False,val,
L1_age=very_old|L2_education=low,L2,L1_age=very_old,118,144,0.1271186440677966,0.0763888888888889,0.7,0.6,0.09375,0.3076923076923077,1.0,0.18181818181818182,0.0,0.013888888888888888,False,144,511,0.07240704500978473,0.5909090909090909,0.8407382091592618,global_default,f1_regret_bnd,,,,False,L1_age=very_old|L2_education=low,False,val,
L1_age=mid|L2_education=mid|L3_hours-per-week=low_hours,L3,L1_age=mid|L2_education=mid,326,144,0.03374233128834356,0.041666666666666664,0.4,0.3,0.020833333333333332,0.8,1.0,0.6666666666666666,0.0,0.027777777777777776,False,144,470,0.036170212765957444,0.8333333333333333,0.9782608695652174,global_default,f1_regret_bnd,,,,False,L1_age=mid|L2_education=mid|L3_hours-per-week=low_hours,False,val,
L1_age=very_old|L2_education=mid|L3_hours-per-week=high_hours,L3,L1_age=very_old|L2_education=mid,312,139,0.375,0.34532374100719426,0.5,0.3,0.31115107913669066,0.5128205128205129,0.6666666666666666,0.4166666666666667,0.3669064748201439,0.2158273381294964,False,139,451,0.36585365853658536,0.47756410256410253,0.7552655677655677,global_default,f1_regret_bnd,,,,False,L1_age=very_old|L2_education=mid|L3_hours-per-week=high_hours,False,val,
L1_age=old|L2_education=low,L2,L1_age=old,114,90,0.09649122807017543,0.022222222222222223,0.4,0.2,0.030555555555555555,0.0,0.0,0.0,0.03333333333333333,0.0,False,90,328,0.054878048780487805,0.48863636363636365,0.8238636363636365,global_default,f1_regret_bnd,,,,False,L1_age=old|L2_education=low,False,val,
L1_age=very_old|L2_education=top|L3_hours-per-week=normal_hours,L3,L1_age=very_old|L2_education=top,223,100,0.6502242152466368,0.69,0.4,0.3,0.1125,0.912751677852349,0.85,0.9855072463768116,0.03,0.8,False,100,323,0.6625386996904025,0.750818139317438,0.911173445535297,global_default,f1_regret_bnd,,,,False,L1_age=very_old|L2_education=top|L3_hours-per-week=normal_hours,False,val,
L1_age=young|L2_education=high|L3_hours-per-week=high_hours,L3,L1_age=young|L2_education=high,195,96,0.07179487179487179,0.09375,0.5,0.1,0.08854166666666667,0.5,1.0,0.3333333333333333,0.10416666666666667,0.03125,False,96,291,0.07903780068728522,0.6264367816091954,0.946360153256705,global_default,f1_regret_bnd,,,,False,L1_age=young|L2_education=high|L3_hours-per-week=high_hours,False,val,
L1_age=very_old|L2_education=top|L3_hours-per-week=high_hours,L3,L1_age=very_old|L2_education=top,187,91,0.7647058823529411,0.7582417582417582,0.4,0.3,0.1346153846153846,0.9006622516556291,0.8292682926829268,0.9855072463768116,0.054945054945054944,0.9010989010989011,False,91,278,0.762589928057554,0.5836627140974967,0.8320158102766798,global_default,f1_regret_bnd,,,,False,L1_age=very_old|L2_education=top|L3_hours-per-week=high_hours,False,val,
L1_age=young|L2_education=mid|L3_hours-per-week=high_hours,L3,L1_age=young|L2_education=mid,190,77,0.042105263157894736,0.07792207792207792,0.2,0.1,0.08766233766233766,0.5,1.0,0.3333333333333333,0.09090909090909091,0.025974025974025976,False,77,267,0.052434456928838954,0.6244131455399061,0.9225352112676056,global_default,f1_regret_bnd,,,,False,L1_age=young|L2_education=mid|L3_hours-per-week=high_hours,False,val,
L1_age=very_old|L2_education=low|L3_hours-per-week=normal_hours,L3,L1_age=very_old|L2_education=low,186,75,0.07526881720430108,0.06666666666666667,0.4,0.2,0.09333333333333334,0.0,0.0,0.0,0.02666666666666667,0.0,False,75,261,0.07279693486590039,0.4928571428571429,0.7514285714285713,global_default,f1_regret_bnd,,,,False,L1_age=very_old|L2_education=low|L3_hours-per-week=normal_hours,False,val,
L1_age=mid|L2_education=top|L3_hours-per-week=normal_hours,L3,L1_age=mid|L2_education=top,183,76,0.453551912568306,0.4473684210526316,0.5,0.3,0.11513157894736842,0.8571428571428571,0.8333333333333334,0.8823529411764706,0.06578947368421052,0.47368421052631576,False,76,259,0.4517374517374517,0.84593837535014,0.9425770308123249,global_default,f1_regret_bnd,,,,False,L1_age=mid|L2_education=top|L3_hours-per-week=normal_hours,False,val,
L1_age=mid|L2_education=top|L3_hours-per-week=high_hours,L3,L1_age=mid|L2_education=top,161,61,0.5279503105590062,0.5737704918032787,0.6,0.5,0.1680327868852459,0.8732394366197184,0.8611111111111112,0.8857142857142857,0.03278688524590164,0.5901639344262295,False,61,222,0.5405405405405406,0.8082417582417583,0.8934065934065935,global_default,f1_regret_bnd,,,,False,L1_age=mid|L2_education=top|L3_hours-per-week=high_hours,False,val,
L1_age=mid|L2_education=low,L2,L1_age=mid,161,52,0.024844720496894408,0.0,0.4,0.3,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,False,213,213,0.018779342723004695,0.5,0.8528708133971292,global_default,f1_regret_bnd,,,,False,L1_age=mid|L2_education=low,False,all,
L1_age=old|L2_education=low|L3_hours-per-week=normal_hours,L3,L1_age=old|L2_education=low,155,57,0.04516129032258064,0.017543859649122806,0.4,0.3,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,False,57,212,0.03773584905660377,0.5,0.6607142857142857,global_default,f1_regret_bnd,,,,False,L1_age=old|L2_education=low|L3_hours-per-week=normal_hours,False,val,
L1_age=very_old|L2_education=low|L3_hours-per-week=low_hours,L3,L1_age=very_old|L2_education=low,125,45,0.024,0.022222222222222223,0.2,0.1,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,False,45,170,0.023529411764705882,0.5,0.8636363636363636,global_default,f1_regret_bnd,,,,False,L1_age=very_old|L2_education=low|L3_hours-per-week=low_hours,False,val,
L1_age=very_old|L2_education=top|L3_hours-per-week=low_hours,L3,L1_age=very_old|L2_education=top,98,55,0.45918367346938777,0.5272727272727272,0.3,0.1,0.20909090909090908,0.8253968253968255,0.7647058823529411,0.896551724137931,0.21818181818181817,0.6181818181818182,False,55,153,0.48366013071895425,0.6021220159151194,0.8793103448275862,global_default,f1_regret_bnd,,,,False,L1_age=very_old|L2_education=top|L3_hours-per-week=low_hours,False,val,
L1_age=young|L2_education=low,L2,L1_age=young,109,37,0.027522935779816515,0.0,0.2,0.1,0.02054794520547945,0.5,1.0,0.3333333333333333,0.0,0.00684931506849315,False,146,146,0.02054794520547945,0.6666666666666666,0.9417249417249417,global_default,f1_regret_bnd,,,,False,L1_age=young|L2_education=low,False,all,
L1_age=mid|L2_education=low|L3_hours-per-week=normal_hours,L3,L1_age=mid|L2_education=low,98,42,0.030612244897959183,0.0,0.4,0.2,0.03214285714285714,0.0,0.0,0.0,0.0,0.0,False,140,140,0.02142857142857143,0.5,0.8004866180048662,global_default,f1_regret_bnd,,,,False,L1_age=mid|L2_education=low|L3_hours-per-week=normal_hours,False,all,
L1_age=old|L2_education=top|L3_hours-per-week=low_hours,L3,L1_age=old|L2_education=top,91,35,0.4945054945054945,0.4857142857142857,0.4,0.3,0.05,0.9444444444444444,0.8947368421052632,1.0,0.02857142857142857,0.5428571428571428,False,35,126,0.49206349206349204,0.9166666666666667,0.9477124183006536,global_default,f1_regret_bnd,,,,False,L1_age=old|L2_education=top|L3_hours-per-week=low_hours,False,val,
L1_age=old|L2_education=low|L3_hours-per-week=others,L3,L1_age=old|L2_education=low,83,33,0.10843373493975904,0.030303030303030304,0.2,0.1,0.06465517241379311,0.6956521739130435,0.6153846153846154,0.8,0.0603448275862069,0.11206896551724138,False,116,116,0.08620689655172414,0.8481132075471698,0.9679245283018868,global_default,f1_regret_bnd,,,,False,L1_age=old|L2_education=low|L3_hours-per-week=others,False,all,
L1_age=very_old|L2_education=low|L3_hours-per-week=others,L3,L1_age=very_old|L2_education=low,56,24,0.16071428571428573,0.20833333333333334,0.5,0.2,0.146875,0.5714285714285714,0.8571428571428571,0.42857142857142855,0.1,0.0875,False,80,80,0.175,0.6688311688311688,0.8506493506493507,global_default,f1_regret_bnd,,,,False,L1_age=very_old|L2_education=low|L3_hours-per-week=others,False,all,
L1_age=mid|L2_education=low|L3_hours-per-week=others,L3,L1_age=mid|L2_education=low,63,10,0.015873015873015872,0.0,0.4,0.3,0.02054794520547945,0.0,0.0,0.0,0.0,0.0,False,73,73,0.0136986301369863,0.5,0.9722222222222222,global_default,f1_regret_bnd,,,,False,L1_age=mid|L2_education=low|L3_hours-per-week=others,False,all,
L1_age=mid|L2_education=top|L3_hours-per-week=others,L3,L1_age=mid|L2_education=top,48,24,0.14583333333333334,0.25,0.4,0.3,0.041666666666666664,0.9166666666666666,1.0,0.8461538461538461,0.0,0.1527777777777778,False,72,72,0.18055555555555555,0.9230769230769231,0.9752281616688396,global_default,f1_regret_bnd,,,,False,L1_age=mid|L2_education=top|L3_hours-per-week=others,False,all,
L1_age=young|L2_education=others,L2,L1_age=young,37,14,0.10810810810810811,0.0,0.5,0.4,0.03431372549019608,0.8571428571428571,1.0,0.75,0.0196078431372549,0.058823529411764705,False,51,51,0.0784313725490196,0.8643617021276595,0.9361702127659575,global_default,f1_regret_bnd,,,,False,L1_age=young|L2_education=others,False,all,
