model,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,BAC_mean,BAC_std,AUC_mean,AUC_std,MCC_mean,MCC_std,Kappa_mean,Kappa_std,BND_ratio_mean,BND_ratio_std,POS_Coverage_mean,POS_Coverage_std,Regret_mean,Regret_std
BTTWD,0.5740685977608695,0.002479268589479145,0.7685165891701724,0.004114779534993124,0.6572053363533483,0.00218741351204417,0.8018722394582241,0.0018052217853389708,0.8890145533331225,0.0027330896857575377,0.5493859155841754,0.003011382163654608,0.5388520337285663,0.0029545895859578383,0.13523873970961958,0.004946136131982882,0.2005513544942529,0.004157846556997959,0.2840716200742421,0.003489266369192757
LogReg,0.665849219385625,0.002818123244015657,0.6005271778975078,0.0028336063012148454,0.6315001150869006,0.0024339376329361555,0.756720500220737,0.0015504455794275707,0.8700789940614826,0.0019620127918428287,0.5331414364223784,0.003065966291705816,0.5319939902184754,0.0030627969219212767,0.0,0.0,,,0.336226091667914,0.0021403266947123568
RandomForest,0.6909688156130482,0.0033327742393680997,0.623427790488843,0.004312598629528982,0.6554597719946971,0.003665488295254877,0.7714296222792424,0.002396744705283386,0.8866154268441886,0.0021014738752657245,0.563604516800295,0.0044853271694555025,0.5624008812444986,0.004522563414498336,0.0,0.0,,,0.3157679541135644,0.0032894376579368748
KNN,0.634113085553319,0.005525417084455136,0.6297649076192584,0.006691991690692494,0.6319196611402977,0.005506696681189575,0.7623787495629366,0.00369274061031824,0.8539696643211994,0.00212744433445355,0.5260460433787371,0.006963542581525954,0.5260327485892891,0.006969173927610729,0.0,0.0,,,0.33046626193636847,0.005079615267480677
XGBoost,0.6944244456346371,0.005094837498876016,0.627286348315989,0.006072393857601788,0.659144511468776,0.005363397622780356,0.7737622857323814,0.003459897630560342,0.8891441122041561,0.0025531219482503257,0.5681972631739536,0.006624755372502218,0.5670095079321579,0.006663592500634604,0.0,0.0,,,0.31254696452016695,0.004757341958664446
