fold,bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
1,L1_Location=Adelaide|L2_RainToday=others,L1_Location=Adelaide,2,L2_RainToday,category_group,others,60,39,21,10.0,True,True,L1_Location=Adelaide
1,L1_Location=Albany|L2_RainToday=rain_today_no,L1_Location=Albany,2,L2_RainToday,category_group,rain_today_no,1694,479,491,,False,False,L1_Location=Albany|L2_RainToday=rain_today_no
1,L1_Location=Albany|L2_RainToday=rain_today_yes,L1_Location=Albany,2,L2_RainToday,category_group,rain_today_yes,710,501,209,,False,True,ROOT
1,L1_Location=Albany|L2_RainToday=others,L1_Location=Albany,2,L2_RainToday,category_group,others,11,11,0,9.0,True,True,ROOT
1,L1_Location=Albury|L2_RainToday=rain_today_no,L1_Location=Albury,2,L2_RainToday,category_group,rain_today_no,1923,357,589,,False,True,L1_Location=Albury
1,L1_Location=Albury|L2_RainToday=rain_today_yes,L1_Location=Albury,2,L2_RainToday,category_group,rain_today_yes,498,363,135,117.0,True,True,L1_Location=Albury
1,L1_Location=Albury|L2_RainToday=others,L1_Location=Albury,2,L2_RainToday,category_group,others,16,12,4,4.0,True,True,L1_Location=Albury
1,L1_Location=AliceSprings|L2_RainToday=rain_today_no,L1_Location=AliceSprings,2,L2_RainToday,category_group,rain_today_no,2196,401,162,,False,True,L1_Location=AliceSprings
1,L1_Location=AliceSprings|L2_RainToday=others,L1_Location=AliceSprings,2,L2_RainToday,category_group,others,211,143,68,36.0,True,True,L1_Location=AliceSprings
1,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no,L1_Location=BadgerysCreek,2,L2_RainToday,category_group,rain_today_no,1815,352,278,,False,False,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no
1,L1_Location=BadgerysCreek|L2_RainToday=rain_today_yes,L1_Location=BadgerysCreek,2,L2_RainToday,category_group,rain_today_yes,451,300,151,121.0,True,True,L1_Location=BadgerysCreek
1,L1_Location=BadgerysCreek|L2_RainToday=others,L1_Location=BadgerysCreek,2,L2_RainToday,category_group,others,40,28,12,11.0,True,True,L1_Location=BadgerysCreek
1,L1_Location=Ballarat|L2_RainToday=rain_today_no,L1_Location=Ballarat,2,L2_RainToday,category_group,rain_today_no,1801,477,521,,False,True,L1_Location=Ballarat
1,L1_Location=Ballarat|L2_RainToday=rain_today_yes,L1_Location=Ballarat,2,L2_RainToday,category_group,rain_today_yes,596,428,168,,False,True,L1_Location=Ballarat
1,L1_Location=Ballarat|L2_RainToday=others,L1_Location=Ballarat,2,L2_RainToday,category_group,others,9,7,2,2.0,True,True,L1_Location=Ballarat
1,L1_Location=Bendigo|L2_RainToday=rain_today_no,L1_Location=Bendigo,2,L2_RainToday,category_group,rain_today_no,1964,366,562,,False,True,L1_Location=Bendigo
