bucket_id,Precision,Recall,F1,BAC,AUC,MCC,Kappa,Regret,BND_ratio,POS_Coverage,n_samples,alpha,beta
L1_Location=Perth|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_high,0.0,0.0,0.0,0.5,0.9226569608735214,0.0,0.0,0.11890243902439024,0.012195121951219513,0.0,164,0.4,0.2
L1_Location=Dartmoor|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=unknown|L5_Sunshine=sun_mid,0.6666666666666666,0.6153846153846154,0.64,0.7737940026075619,0.9126466753585397,0.5651781456987601,0.564516129032258,0.19444444444444445,0.1388888888888889,0.16666666666666666,72,0.4,0.2
L1_Location=NorfolkIsland|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_high,0.0,0.0,0.0,0.4946808510638298,0.6562150055991042,-0.04248189315697463,-0.017101710171016915,0.4646017699115044,0.035398230088495575,0.008849557522123894,113,0.4,0.2
L1_Location=OTHERS|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.0,0.0,0.0,0.4943181818181818,0.9403409090909091,-0.0186598342715519,-0.01642710472279263,0.08402203856749312,0.03305785123966942,0.011019283746556474,363,0.4,0.2
L1_Location=Walpole|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.6176470588235294,0.6,0.608695652173913,0.6796296296296296,0.7201058201058201,0.36117532223117055,0.36107418239829836,0.5674157303370787,0.4044943820224719,0.38202247191011235,89,0.4,0.2
L1_Location=Portland|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_high|L5_Sunshine=unknown,0.6666666666666666,1.0,0.8,0.9444444444444444,1.0,0.769800358919501,0.7441860465116279,0.2727272727272727,0.36363636363636365,0.2727272727272727,11,0.4,0.2
L1_Location=Witchcliffe|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.0,0.0,0.0,0.5,0.6462585034013605,0.0,0.0,0.18269230769230768,0.019230769230769232,0.0,52,0.4,0.2
L1_Location=Albury|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_high|L5_Sunshine=unknown,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.5847953216374269,0.7251461988304093,0.2560762556992418,0.2056737588652483,0.7142857142857143,0.21428571428571427,0.10714285714285714,28,0.4,0.2
L1_Location=Sale|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_low|L5_Sunshine=unknown,0.0,0.0,0.0,0.5,0.9782608695652174,0.0,0.0,0.1,0.12,0.0,25,0.4,0.2
L1_Location=Woomera|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_high,0.0,0.0,0.0,0.5,0.7571428571428571,0.0,0.0,0.03389830508474576,0.0,0.0,177,0.4,0.2
