model,Precision,Recall,F1,BAC,AUC,MCC,Kappa,BND_ratio,POS_Coverage,Regret
BTTWD,0.5480807117443408,0.7322707738311338,0.6268898056372241,0.8261323627081036,0.9328039920455623,0.5772941694863063,0.569252283638071,0.05018692548660884,0.13961206947474505,0.1138495534483761
LogReg,0.623768950292322,0.43656458965614064,0.5132407108800727,0.7007731610313599,0.9066318333403952,0.47063102787734534,0.4613572442999043,0.0,,0.15501767428704502
KNN,0.5604511535135716,0.5080357254633346,0.5328669476256196,0.7275913073667107,0.8770796575367577,0.47515422265014057,0.4743784342761609,0.0,,0.1501073369552921
XGBoost,0.6063814687049421,0.6038901695957993,0.605067260527643,0.7759693920222419,0.9352389145054509,0.5529130713960464,0.5528730694278409,0.0,,0.127081957928013
